***Scan Config Information***,,,,,,,***Reference Scan Information***,,,,,,,
Scan Config Name:,Column 1,,,,,,Scan Config Name:,Built-in Factory Reference,,,,,,,,
Scan Config Type:,Slew,Num Section:,1,,,,Scan Config Type:,Slew,Num Section:,1,,,,,
Section Config Type:,Column,,,,,,Section Config Type:,Column,,,,,,,
Start Wavelength (nm):,900,,,,,,Start Wavelength (nm):,900,,,,,,,
End Wavelength (nm):,1700,,,,,,End Wavelength (nm):,1700,,,,,,,
Pattern Width (nm):,7.03,,,,,,Pattern Width (nm):,7.03,,,,,,,
Exposure (ms):,0.635,,,,,,Exposure (ms):,0.635,,,,,,,
Digital Resolution:,228,,,,,,Digital Resolution:,228,,,,,,,
Num Repeats:,6,,,,,,Num Repeats:,30,,,,,,,
PGA Gain:,64,,,,,,PGA Gain:,64,,,,,,,
System Temp (C):,47.96,,,,,,System Temp (C):,34.7,,,,,,,
Humidity (%):,30.35,,,,,,Humidity (%):,35.27,,,,,,,
Lamp Intensity:,1921,,,,,,Lamp Intensity:,1767,,,,,,,
Data Date-Time:,20/10/27T13:11:45,,,,,,Data Date-Time:,20/5/13T16:0:36,,,,,,,
Total Measurement Time in sec:,2.0274067,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
***General Information***,,,,,,,***Calibration Coefficients***,,,,,,,
Model Name:,NIR-S-G1,,,,,,Shift Vector Coefficients:,-7.40266672958336,0.0577935962102471,-0.000112288131265282,,,,,
Serial Number:,947R033,(95UB122GC0A947R033),,,,,Pixel to Wavelength Coefficients:,1779.07784909224,-0.923938295271985,-0.000239032023878199,,,,,
GUI Version:,3.6.4,,,,,,Versions (Cal/Ref/Cfg):,1,3,1,,,,,
TIVA Version:,2.4.4,,,,,,***Lamp Usage * **,,,,,,,
DLPC Version:,2.2.0,,,,,,Total Time(HH:MM:SS):,19min 43sec ,,,,,,
UUID:,DE:67:0C:88:67:4B:68:21,,,,,,***Device/Error Status***,,,,,,,
Main Board Version:,D,,,,,,Device Status:,0x00000001,,,,,,
Detector Board Version:,B,,,,,,Error status:,0x00000000,Error Code:,0x00000000000000000000000000000000,,,,
,,,,,,,,,,,,,,,
***Scan Data***,,,,,,,,,,,,,,
Wavelength (nm),Reflectance (unitless)
901.938585242429,0.127812658014495
905.839109344998,0.125949897425525
909.735330871137,0.126870889795629
913.627249820846,0.125740873646268
917.514866194126,0.123130861473244
921.398179990975,0.124890509068425
925.277191211395,0.120493106355052
929.151899855385,0.120535581008867
933.022305922945,0.116667928679919
938.17615444969,0.119972914323729
942.036521172247,0.121815410343118
945.892585318375,0.120675421351262
949.744346888073,0.122209349552897
953.59180588134,0.119601772867993
957.434962298178,0.120432090874226
961.273816138587,0.121120860888463
965.108367402565,0.120582907583855
968.938616090114,0.119400091547968
974.03892144351,0.119721080926392
977.859130786056,0.120101193801387
981.675037552172,0.119436773298882
985.486641741858,0.120157324118766
989.293943355114,0.119804590227742
993.096942391941,0.118648113384039
996.895638852337,0.118390884457723
1000.6900327363,0.119869848156182
1004.48012404384,0.119663173637485
1009.52688622389,0.119477237258306
1013.30693818642,0.119773535448551
1017.08268757253,0.119408763114226
1020.8541343822,0.120365158793187
1024.62127861545,0.119641837270542
1028.38412027226,0.120178254004319
1032.14265935265,0.11974843150741
1035.8968958566,0.120014011121328
1039.64682978413,0.119817912384126
1044.64004879083,0.119351149323575
1048.37994337335,0.120263622795529
1052.11553537944,0.11909069591427
1055.84682480911,0.119098415293554
1059.57381166234,0.119688056870222
1063.29649593914,0.119033299964838
1067.01487763952,0.119511282978568
1070.72895676346,0.11950905640982
1074.43873331097,0.119806927837925
1079.37840914432,0.119904471871735
1083.07814634683,0.119461841350551
1086.77358097292,0.119976069838897
1090.46471302257,0.120321512197857
1094.15154249579,0.119747024727138
1097.83406939258,0.120384353780709
1101.51229371294,0.120900992278029
1105.18621545688,0.120693069684009
1108.85583462438,0.12187073173966
1113.74196728438,0.122038275461527
1117.40154710688,0.121619653619519
1121.05682435295,0.121856152451909
1124.70779902259,0.122578366835696
1128.3544711158,0.122789622455464
1131.99684063258,0.122628666107124
1135.63490757293,0.123289272757686
1139.26867193685,0.122519397893663
1142.89813372434,0.123627230086865
1147.73072321099,0.124148872760422
1151.35014565348,0.123492718429714
1154.96526551954,0.123061741344687
1158.57608280917,0.122535621317989
1162.18259752237,0.122479819004217
1165.78480965914,0.122889353240538
1169.38271921947,0.122026137237207
1172.97632620338,0.122227658321793
1176.56563061086,0.122039710211221
1181.34467692417,0.121784983395617
1184.92394198664,0.121941288838893
1188.49890447269,0.122558889306581
1192.06956438231,0.121914095210512
1195.63592171549,0.121487227838924
1199.19797647225,0.121909083916622
1202.75572865258,0.122163311169465
1206.30917825648,0.121901108819947
1209.85832528395,0.122117065489597
1214.5838284239,0.121958226751563
1218.12293610637,0.122102694909615
1221.6577412124,0.121668034319798
1225.18824374201,0.122250172149693
1228.71444369518,0.121969347551861
1232.23634107193,0.122236704936744
1235.75393587224,0.122743843887831
1239.26722809613,0.121795988603194
1242.77621774359,0.122247077184603
1247.44817771019,0.122100931827023
1250.94712801265,0.121747677004277
1254.44177573867,0.121920760107604
1257.93212088826,0.121981878043312
1261.41816346143,0.121816295237039
1264.89990345816,0.122100665629216
1268.37734087847,0.121798265509361
1271.85047572234,0.121931768048209
1275.31930798978,0.121903111480164
1279.93772478304,0.122202991422428
1283.39651770548,0.121604210187251
1286.8510080515,0.122305182951963
1290.30119582108,0.122653329835967
1293.74708101423,0.12284734341615
1297.18866363095,0.122517151380864
