***Scan Config Information***,,,,,,,***Reference Scan Information***,,,,,,,
Scan Config Name:,Column 1,,,,,,Scan Config Name:,Built-in Factory Reference,,,,,,,,
Scan Config Type:,Slew,Num Section:,1,,,,Scan Config Type:,Slew,Num Section:,1,,,,,
Section Config Type:,Column,,,,,,Section Config Type:,Column,,,,,,,
Start Wavelength (nm):,900,,,,,,Start Wavelength (nm):,900,,,,,,,
End Wavelength (nm):,1700,,,,,,End Wavelength (nm):,1700,,,,,,,
Pattern Width (nm):,7.03,,,,,,Pattern Width (nm):,7.03,,,,,,,
Exposure (ms):,0.635,,,,,,Exposure (ms):,0.635,,,,,,,
Digital Resolution:,228,,,,,,Digital Resolution:,228,,,,,,,
Num Repeats:,6,,,,,,Num Repeats:,30,,,,,,,
PGA Gain:,64,,,,,,PGA Gain:,64,,,,,,,
System Temp (C):,49.16,,,,,,System Temp (C):,27.52,,,,,,,
Humidity (%):,14.42,,,,,,Humidity (%):,73.2,,,,,,,
Lamp Intensity:,2668,,,,,,Lamp Intensity:,2274,,,,,,,
Data Date-Time:,27/10/20 @ 15:0:3,,,,,,Data Date-Time:,9/7/19 @ 16:39:9,,,,,,,
Total Measurement Time in sec:,1.7981728,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
***General Information***,,,,,,,***Calibration Coefficients***,,,,,,,
Model Name:,NIR-X-XX,,,,,,Shift Vector Coefficients:,-6.85384978732833,0.0551332794684546,-0.000110731550088635,,,,,
Serial Number:,925R021,(95UB122GC1A925R021),,,,,Pixel to Wavelength Coefficients:,1790.66412099084,-0.917492857141292,-0.000239200785115314,,,,,
GUI Version:,2.4.4,,,,,,Versions (Cal/Ref/Cfg):,1,3,1,,,,,
TIVA Version:,2.1.0.67,,,,,,***Lamp Usage * **,,,,,,,
DLPC Version:,2.0.0,,,,,,Total Time(HH:MM:SS):,NA,,,,,,
UUID:,DE:67:0C:88:67:19:47:21,,,,,,***Device/Error Status***,,,,,,,
Main Board Version:,D,,,,,,Device Status:,0x00000001,,,,,,
Detector Board Version:,B,,,,,,Error status:,0x00000000,Error Code:,0x00000000000000000000000000000000,,,,
,,,,,,,,,,,,,,,
***Scan Data***,,,,,,,,,,,,,,
Wavelength (nm),Sample Signal (unitless)
901.630473432251,17196
905.531115772228,18845
909.427452498074,20261
913.319483609787,21661
917.207209107368,23430
921.090628990817,26025
924.969743260134,28216
930.13519799724,33212
934.004265833582,36927
937.869028055792,40354
941.72948466387,43750
945.585635657816,46345
949.43748103763,49410
953.285020803312,51483
957.128254954862,53502
960.967183492279,56001
966.07905725352,58147
969.907939357962,60221
973.732515848273,62340
977.552786724452,63890
981.368751986498,65133
985.180411634413,66355
988.987765668195,67913
992.790814087846,69230
996.589556893364,70262
1001.64784967874,71700
1005.43654605128,72309
1009.22093680969,72473
1013.00102195397,72972
1016.77680148412,73214
1020.54827540013,73767
1024.31544370202,73725
1028.07830638977,74107
1031.83686346339,74063
1036.8415752729,74078
1040.59008591354,73754
1044.33429094005,74201
1048.07419035243,74017
1051.80978415068,74166
1055.5410723348,74081
1059.26805490478,74189
1062.99073186063,74114
1066.70910320235,74576
1071.66023403599,74702
1075.36855894474,74977
1079.07257823935,75362
1082.77229191983,75836
1086.46769998618,76593
1090.1588024384,76954
1093.84559927648,77773
1097.52809050043,78320
1101.20627611025,78960
1106.10382596803,79854
1109.77196514487,80565
1113.43579870759,81058
1117.09532665617,81554
1120.75054899062,82584
1124.40146571093,82786
1128.04807681712,83784
1131.69038230917,84327
1135.32838218709,85156
1140.172351069,85860
1143.80030451395,87068
1147.42395234476,87807
1151.04329456145,88782
1154.658331164,89732
1158.26906215241,90521
1161.8754875267,91186
1165.47760728685,92360
1169.07542143287,93438
1173.86580933892,94840
1177.45357705197,95280
1181.03703915088,96694
1184.61619563566,98019
1188.19104650631,99637
1191.76159176283,100365
1195.32783140522,102116
1198.88976543347,103842
1202.44739384759,104723
1207.18420077777,106844
1210.73178275892,108700
1214.27505912594,109926
1217.81402987882,111652
1221.34869501757,113555
1224.87905454219,114578
1228.40510845267,116206
1231.92685674903,117674
1235.44429943125,118922
1240.12752538557,121085
1243.63492163481,122113
1247.13801226993,123245
1250.63679729091,124299
1254.13127669776,125322
1257.62145049048,127332
1261.10731866907,129343
1264.58888123353,131308
1268.06613818385,133020
1272.6957831623,135537
1276.16299367965,137026
1279.62589858286,138722
1283.08449787195,139371
1286.5387915469,140690
1289.98877960772,142142
1293.43446205441,143268
1296.87583888696,143713
