***Scan Config Information***,,,,,,,***Reference Scan Information***,,,,,,,
Scan Config Name:,Column 1,,,,,,Scan Config Name:,Built-in Factory Reference,,,,,,,,
Scan Config Type:,Slew,Num Section:,1,,,,Scan Config Type:,Slew,Num Section:,1,,,,,
Section Config Type:,Column,,,,,,Section Config Type:,Column,,,,,,,
Start Wavelength (nm):,900,,,,,,Start Wavelength (nm):,900,,,,,,,
End Wavelength (nm):,1700,,,,,,End Wavelength (nm):,1700,,,,,,,
Pattern Width (nm):,7.03,,,,,,Pattern Width (nm):,7.03,,,,,,,
Exposure (ms):,0.635,,,,,,Exposure (ms):,0.635,,,,,,,
Digital Resolution:,228,,,,,,Digital Resolution:,228,,,,,,,
Num Repeats:,6,,,,,,Num Repeats:,30,,,,,,,
PGA Gain:,64,,,,,,PGA Gain:,64,,,,,,,
System Temp (C):,49.25,,,,,,System Temp (C):,27.52,,,,,,,
Humidity (%):,14.43,,,,,,Humidity (%):,73.2,,,,,,,
Lamp Intensity:,2670,,,,,,Lamp Intensity:,2274,,,,,,,
Data Date-Time:,27/10/20 @ 15:0:13,,,,,,Data Date-Time:,9/7/19 @ 16:39:9,,,,,,,
Total Measurement Time in sec:,1.846095,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
***General Information***,,,,,,,***Calibration Coefficients***,,,,,,,
Model Name:,NIR-X-XX,,,,,,Shift Vector Coefficients:,-6.85384978732833,0.0551332794684546,-0.000110731550088635,,,,,
Serial Number:,925R021,(95UB122GC1A925R021),,,,,Pixel to Wavelength Coefficients:,1790.66412099084,-0.917492857141292,-0.000239200785115314,,,,,
GUI Version:,2.4.4,,,,,,Versions (Cal/Ref/Cfg):,1,3,1,,,,,
TIVA Version:,2.1.0.67,,,,,,***Lamp Usage * **,,,,,,,
DLPC Version:,2.0.0,,,,,,Total Time(HH:MM:SS):,NA,,,,,,
UUID:,DE:67:0C:88:67:19:47:21,,,,,,***Device/Error Status***,,,,,,,
Main Board Version:,D,,,,,,Device Status:,0x00000001,,,,,,
Detector Board Version:,B,,,,,,Error status:,0x00000000,Error Code:,0x00000000000000000000000000000000,,,,
,,,,,,,,,,,,,,,
***Scan Data***,,,,,,,,,,,,,,
Wavelength (nm),Absorbance (AU)
901.630473432251,0.61090499607236
905.531115772228,0.609856434957456
909.427452498074,0.607898963900118
913.319483609787,0.605024607798703
917.207209107368,0.609309565725558
921.090628990817,0.615050275869816
924.969743260134,0.616018222133191
930.13519799724,0.615140133380764
934.004265833582,0.606171398248603
937.869028055792,0.594530575929067
941.72948466387,0.58102834511027
945.585635657816,0.573338715177959
949.43748103763,0.567213694241357
953.285020803312,0.560082505791547
957.128254954862,0.556553413079408
960.967183492279,0.549787135043155
966.07905725352,0.547384878683117
969.907939357962,0.545256943309178
973.732515848273,0.542583328746272
977.552786724452,0.54180261462823
981.368751986498,0.540414366802723
985.180411634413,0.538285593093303
988.987765668195,0.536538992179692
992.790814087846,0.536261904638229
996.589556893364,0.536907813325234
1001.64784967874,0.534599643122658
1005.43654605128,0.533519883021107
1009.22093680969,0.532664629536592
1013.00102195397,0.533148583469523
1016.77680148412,0.531308448823359
1020.54827540013,0.531831478400306
1024.31544370202,0.530963572825634
1028.07830638977,0.53091794635258
1031.83686346339,0.530642723563904
1036.8415752729,0.530472561499265
1040.59008591354,0.531168014224815
1044.33429094005,0.531406555429794
1048.07419035243,0.532694663555505
1051.80978415068,0.532837702960989
1055.5410723348,0.534495260087868
1059.26805490478,0.534096598734057
1062.99073186063,0.535448946506127
1066.70910320235,0.536080015059876
1071.66023403599,0.537983435716642
1075.36855894474,0.539383214601462
1079.07257823935,0.540070595483953
1082.77229191983,0.541415842549724
1086.46769998618,0.540507208604779
1090.1588024384,0.542718903870109
1093.84559927648,0.544216571612667
1097.52809050043,0.545522862348866
1101.20627611025,0.547110953610185
1106.10382596803,0.547318559667721
1109.77196514487,0.549413571945228
1113.43579870759,0.550578547124856
1117.09532665617,0.550876922453302
1120.75054899062,0.552356352923017
1124.40146571093,0.554348961602495
1128.04807681712,0.554592714204967
1131.69038230917,0.554674917478465
1135.32838218709,0.553001612340784
1140.172351069,0.552062035816276
1143.80030451395,0.553262691397788
1147.42395234476,0.552148893705766
1151.04329456145,0.551375509627379
1154.658331164,0.551832503304489
1158.26906215241,0.551751973512766
1161.8754875267,0.551333558953408
1165.47760728685,0.55240971298758
1169.07542143287,0.55019661678401
1173.86580933892,0.550155903247015
1177.45357705197,0.548352703886165
1181.03703915088,0.548032469939
1184.61619563566,0.546620015542082
1188.19104650631,0.545429774718741
1191.76159176283,0.543821025298773
1195.32783140522,0.542294806723288
1198.88976543347,0.540665487293027
1202.44739384759,0.539610523332861
1207.18420077777,0.538716391235283
1210.73178275892,0.536366873392552
1214.27505912594,0.535380108316499
1217.81402987882,0.534216602464652
1221.34869501757,0.532999921477341
1224.87905454219,0.531772032525274
1228.40510845267,0.531174288937549
1231.92685674903,0.528543122625162
1235.44429943125,0.528329915227698
1240.12752538557,0.526630937452089
1243.63492163481,0.525698634884004
1247.13801226993,0.524174120718901
1250.63679729091,0.524265051786952
1254.13127669776,0.52307964780876
1257.62145049048,0.524375785819964
1261.10731866907,0.523071748557242
1264.58888123353,0.522470606691035
1268.06613818385,0.522088029636805
1272.6957831623,0.52232838809974
1276.16299367965,0.521251224764197
1279.62589858286,0.521811251482999
1283.08449787195,0.52108207152531
1286.5387915469,0.520825525367833
1289.98877960772,0.521814638067272
1293.43446205441,0.520682769133728
1296.87583888696,0.520899918743734
1300.31291010539,0.521403015492286
