***Scan Config Information***,,,,,,,***Reference Scan Information***,,,,,,,
Scan Config Name:,Column 1,,,,,,Scan Config Name:,Built-in Factory Reference,,,,,,,,
Scan Config Type:,Slew,Num Section:,1,,,,Scan Config Type:,Slew,Num Section:,1,,,,,
Section Config Type:,Column,,,,,,Section Config Type:,Column,,,,,,,
Start Wavelength (nm):,900,,,,,,Start Wavelength (nm):,900,,,,,,,
End Wavelength (nm):,1700,,,,,,End Wavelength (nm):,1700,,,,,,,
Pattern Width (nm):,7.03,,,,,,Pattern Width (nm):,7.03,,,,,,,
Exposure (ms):,0.635,,,,,,Exposure (ms):,0.635,,,,,,,
Digital Resolution:,228,,,,,,Digital Resolution:,228,,,,,,,
Num Repeats:,6,,,,,,Num Repeats:,30,,,,,,,
PGA Gain:,64,,,,,,PGA Gain:,64,,,,,,,
System Temp (C):,49.19,,,,,,System Temp (C):,27.52,,,,,,,
Humidity (%):,14.43,,,,,,Humidity (%):,73.2,,,,,,,
Lamp Intensity:,2671,,,,,,Lamp Intensity:,2274,,,,,,,
Data Date-Time:,27/10/20 @ 15:0:6,,,,,,Data Date-Time:,9/7/19 @ 16:39:9,,,,,,,
Total Measurement Time in sec:,1.801169,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
***General Information***,,,,,,,***Calibration Coefficients***,,,,,,,
Model Name:,NIR-X-XX,,,,,,Shift Vector Coefficients:,-6.85384978732833,0.0551332794684546,-0.000110731550088635,,,,,
Serial Number:,925R021,(95UB122GC1A925R021),,,,,Pixel to Wavelength Coefficients:,1790.66412099084,-0.917492857141292,-0.000239200785115314,,,,,
GUI Version:,2.4.4,,,,,,Versions (Cal/Ref/Cfg):,1,3,1,,,,,
TIVA Version:,2.1.0.67,,,,,,***Lamp Usage * **,,,,,,,
DLPC Version:,2.0.0,,,,,,Total Time(HH:MM:SS):,NA,,,,,,
UUID:,DE:67:0C:88:67:19:47:21,,,,,,***Device/Error Status***,,,,,,,
Main Board Version:,D,,,,,,Device Status:,0x00000001,,,,,,
Detector Board Version:,B,,,,,,Error status:,0x00000000,Error Code:,0x00000000000000000000000000000000,,,,
,,,,,,,,,,,,,,,
***Scan Data***,,,,,,,,,,,,,,
Wavelength (nm),Reflectance (AU)
901.630473432251,0.415094339622642
905.531115772228,0.419026588553402
909.427452498074,0.419603708538341
913.319483609787,0.412404175815709
917.207209107368,0.407282455331573
921.090628990817,0.402255075793522
924.969743260134,0.394408649724857
930.13519799724,0.393165559893978
934.004265833582,0.394782616202031
937.869028055792,0.402958447335157
941.72948466387,0.410369422436344
945.585635657816,0.413850050331904
949.43748103763,0.417026639105025
953.285020803312,0.420225765542022
957.128254954862,0.422747867506822
960.967183492279,0.419893188868767
966.07905725352,0.420046946423424
969.907939357962,0.420298196178097
973.732515848273,0.418589855300975
977.552786724452,0.417873135131644
981.368751986498,0.416662944522536
985.180411634413,0.416095652755003
988.987765668195,0.416351861845656
992.790814087846,0.41603861377539
996.589556893364,0.415947874498887
1001.64784967874,0.416318950338873
1005.43654605128,0.416270095847257
1009.22093680969,0.416145488494387
1013.00102195397,0.416500439976946
1016.77680148412,0.416795954856348
1020.54827540013,0.417277713318887
1024.31544370202,0.417206325479307
1028.07830638977,0.416448325365653
1031.83686346339,0.416969012426826
1036.8415752729,0.416433144372728
1040.59008591354,0.4168172561168
1044.33429094005,0.415734060050182
1048.07419035243,0.415457762584559
1051.80978415068,0.415569431738913
1055.5410723348,0.414487919875689
1059.26805490478,0.414688229328908
1062.99073186063,0.41502362242977
1066.70910320235,0.413714388511945
1071.66023403599,0.4146098987375
1075.36855894474,0.412906604343093
1079.07257823935,0.414214419263046
1082.77229191983,0.413844614326195
1086.46769998618,0.414636891037382
1090.1588024384,0.41408123090416
1093.84559927648,0.414873956141991
1097.52809050043,0.415520367630977
1101.20627611025,0.415858886747269
1106.10382596803,0.417029038276151
1109.77196514487,0.417343291788856
1113.43579870759,0.417659672092421
1117.09532665617,0.41802756106847
1120.75054899062,0.417793024483187
1124.40146571093,0.416893340018903
1128.04807681712,0.417157789758955
1131.69038230917,0.417799431268019
1135.32838218709,0.420440001908902
1140.172351069,0.424495312466479
1143.80030451395,0.426471308030347
1147.42395234476,0.427072622277588
1151.04329456145,0.428248530815209
1154.658331164,0.428918935733394
1158.26906215241,0.428989032254089
1161.8754875267,0.429472129426557
1165.47760728685,0.42953441988839
1169.07542143287,0.429324570603647
1173.86580933892,0.429378431094962
1177.45357705197,0.429700960240819
1181.03703915088,0.430865051903114
1184.61619563566,0.43148059506443
1188.19104650631,0.431955661243189
1191.76159176283,0.43304620493851
1195.32783140522,0.433601821399615
1198.88976543347,0.434399215531891
1202.44739384759,0.435655142294357
1207.18420077777,0.434604374774447
1210.73178275892,0.435246693667018
1214.27505912594,0.43554316655379
1217.81402987882,0.435741369324228
1221.34869501757,0.435638314670425
1224.87905454219,0.435275489777836
1228.40510845267,0.43489625533956
1231.92685674903,0.434908962744014
1235.44429943125,0.434113952814458
1240.12752538557,0.434082672901105
1243.63492163481,0.43306905220583
1247.13801226993,0.432903036728907
1250.63679729091,0.432900920767682
1254.13127669776,0.432872353260542
1257.62145049048,0.432463630143099
1261.10731866907,0.431962326610127
1264.58888123353,0.431534426021475
1268.06613818385,0.43090814965255
1272.6957831623,0.430447126613614
1276.16299367965,0.430235680356095
1279.62589858286,0.429826724196973
1283.08449787195,0.429363019982303
1286.5387915469,0.429162116930136
1289.98877960772,0.42943146852586
1293.43446205441,0.428937878731551
1296.87583888696,0.428963623884695
1300.31291010539,0.428941091168929
