***Scan Config Information***,,,,,,,***Reference Scan Information***,,,,,,,
Scan Config Name:,Column 1,,,,,,Scan Config Name:,Built-in Factory Reference,,,,,,,,
Scan Config Type:,Slew,Num Section:,1,,,,Scan Config Type:,Slew,Num Section:,1,,,,,
Section Config Type:,Column,,,,,,Section Config Type:,Column,,,,,,,
Start Wavelength (nm):,900,,,,,,Start Wavelength (nm):,900,,,,,,,
End Wavelength (nm):,1700,,,,,,End Wavelength (nm):,1700,,,,,,,
Pattern Width (nm):,7.03,,,,,,Pattern Width (nm):,7.03,,,,,,,
Exposure (ms):,0.635,,,,,,Exposure (ms):,0.635,,,,,,,
Digital Resolution:,228,,,,,,Digital Resolution:,228,,,,,,,
Num Repeats:,6,,,,,,Num Repeats:,30,,,,,,,
PGA Gain:,64,,,,,,PGA Gain:,64,,,,,,,
System Temp (C):,49.54,,,,,,System Temp (C):,27.52,,,,,,,
Humidity (%):,14.23,,,,,,Humidity (%):,73.2,,,,,,,
Lamp Intensity:,2673,,,,,,Lamp Intensity:,2274,,,,,,,
Data Date-Time:,27/10/20 @ 15:1:0,,,,,,Data Date-Time:,9/7/19 @ 16:39:9,,,,,,,
Total Measurement Time in sec:,1.7971728,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
***General Information***,,,,,,,***Calibration Coefficients***,,,,,,,
Model Name:,NIR-X-XX,,,,,,Shift Vector Coefficients:,-6.85384978732833,0.0551332794684546,-0.000110731550088635,,,,,
Serial Number:,925R021,(95UB122GC1A925R021),,,,,Pixel to Wavelength Coefficients:,1790.66412099084,-0.917492857141292,-0.000239200785115314,,,,,
GUI Version:,2.4.4,,,,,,Versions (Cal/Ref/Cfg):,1,3,1,,,,,
TIVA Version:,2.1.0.67,,,,,,***Lamp Usage * **,,,,,,,
DLPC Version:,2.0.0,,,,,,Total Time(HH:MM:SS):,NA,,,,,,
UUID:,DE:67:0C:88:67:19:47:21,,,,,,***Device/Error Status***,,,,,,,
Main Board Version:,D,,,,,,Device Status:,0x00000001,,,,,,
Detector Board Version:,B,,,,,,Error status:,0x00000000,Error Code:,0x00000000000000000000000000000000,,,,
,,,,,,,,,,,,,,,
***Scan Data***,,,,,,,,,,,,,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.630473432251,0.530201696801707,102131,30127
905.531115772228,0.529121076181979,110950,32810
909.427452498074,0.52719309334749,119508,35498
913.319483609787,0.534802134830872,129795,37884
917.207209107368,0.540710832157749,143166,41222
921.090628990817,0.549400124883478,160172,45205
924.969743260134,0.555916931333615,180815,50271
930.13519799724,0.559959357011325,210522,57988
934.004265833582,0.555052518307835,231687,64543
937.869028055792,0.548968449818378,249996,70626
941.72948466387,0.538836202587936,265685,76830
945.585635657816,0.533270835282786,279147,81764
949.43748103763,0.528863972428251,291226,86172
953.285020803312,0.524035373477606,302792,90596
957.128254954862,0.523735542832256,314069,94035
960.967183492279,0.521151223017689,325247,97963
966.07905725352,0.520545533245804,339962,102538
969.907939357962,0.521610626674964,350977,105601
973.732515848273,0.522289288553883,361509,108600
977.552786724452,0.521787004121985,371608,111763
981.368751986498,0.521551436632381,380605,114531
985.180411634413,0.523490123062981,389074,116558
988.987765668195,0.521903648713555,396542,119230
992.790814087846,0.521045062511063,402965,121401
996.589556893364,0.522295950895404,408092,122592
1001.64784967874,0.520361633989718,414610,125106
1005.43654605128,0.520481796597627,417748,126018
1009.22093680969,0.518551384059811,419882,127226
1013.00102195397,0.517778674562992,421613,127978
1016.77680148412,0.51882485721929,422828,128038
1020.54827540013,0.517187267174253,423181,128629
1024.31544370202,0.51587326848486,422798,128902
1028.07830638977,0.514966124669971,422122,128965
1031.83686346339,0.51552529243025,421427,128587
1036.8415752729,0.514553046734812,420017,128444
1040.59008591354,0.51320088701346,418356,128335
1044.33429094005,0.512307972373363,416485,128024
1048.07419035243,0.512033940549277,415390,127768
1051.80978415068,0.511640231935686,414299,127548
1055.5410723348,0.510732030516569,413158,127463
1059.26805490478,0.510607726000704,412194,127202
1062.99073186063,0.510751063735605,411685,127003
1066.70910320235,0.508925130560218,411349,127434
1071.66023403599,0.507155663875965,411406,127972
1075.36855894474,0.507071993782572,412471,128328
1079.07257823935,0.507667937068491,413974,128619
1082.77229191983,0.507071867314927,415714,129337
1086.46769998618,0.505748712065936,417657,130338
1090.1588024384,0.50528952345641,419594,131081
1093.84559927648,0.504291469214484,422591,132321
1097.52809050043,0.503283870128889,425209,133450
1101.20627611025,0.502253102226313,428025,134653
1106.10382596803,0.501375946860995,432567,136357
1109.77196514487,0.500617441556362,436480,137831
1113.43579870759,0.500749361173964,440246,138978
1117.09532665617,0.499834179070684,443887,140423
1120.75054899062,0.499750294195894,447164,141487
1124.40146571093,0.501030539656172,450722,142193
1128.04807681712,0.500134427884897,454231,143596
1131.69038230917,0.499388206905639,457509,144881
1135.32838218709,0.498211364667661,460998,146382
1140.172351069,0.497603176052608,466130,148219
1143.80030451395,0.495233163314612,469905,150237
1147.42395234476,0.495540596292785,473615,151316
1151.04329456145,0.494413166614013,477816,153055
1154.658331164,0.494099766911671,482210,154574
1158.26906215241,0.494786237067782,486791,155796
1161.8754875267,0.494910881882411,491522,157265
1165.47760728685,0.493611560278803,496370,159292
1169.07542143287,0.494230112288004,501518,160715
1173.86580933892,0.493576015918651,508584,163225
1177.45357705197,0.494437771672847,514246,164715
1181.03703915088,0.494010754663182,520200,166786
1184.61619563566,0.493469125784271,526464,169005
1188.19104650631,0.493056014655729,532807,171204
1191.76159176283,0.49208142442537,539596,173775
1195.32783140522,0.490706287462277,546393,176522
1198.88976543347,0.489835976863688,553751,179258
1202.44739384759,0.489209286083202,560985,181862
1207.18420077777,0.489532563634755,570818,184912
1210.73178275892,0.488976938972854,578511,187644
1214.27505912594,0.489021404127226,586183,190113
1217.81402987882,0.488428589995667,593928,192888
1221.34869501757,0.487780663486588,601639,195684
1224.87905454219,0.48784593958954,609460,198198
1228.40510845267,0.487357009221705,617092,200906
1231.92685674903,0.487486356764735,624195,203158
1235.44429943125,0.487621293394837,631507,205474
1240.12752538557,0.486665759267489,640742,208938
1243.63492163481,0.486432875992868,646786,211022
1247.13801226993,0.486721174873587,651721,212491
1250.63679729091,0.486016327179209,656626,214438
1254.13127669776,0.48672028311285,663080,216195
1257.62145049048,0.485887136791896,672260,219609
1261.10731866907,0.4854953781436,682710,223224
1264.58888123353,0.486139903688988,693458,226402
1268.06613818385,0.486420234986321,703122,229409
1272.6957831623,0.485148228367619,715010,233972
1276.16299367965,0.484917303435861,722504,236550
1279.62589858286,0.485642123893843,730050,238622
1283.08449787195,0.486025081146689,736852,240633
1286.5387915469,0.485767903904969,742717,242692
1289.98877960772,0.485912499611915,748138,244382
1293.43446205441,0.485648455510599,753172,246176
1296.87583888696,0.485046239739437,757640,247980
1300.31291010539,0.485764669147731,761312,248770
1304.88897410797,0.484682843573999,765447,250745
1308.31599889342,0.484512087204022,767807,251617
1311.73871806474,0.485196881355709,770070,251961
1315.15713162192,0.48509246772621,771376,252449
1318.57123956497,0.484632703254577,772495,253083
1321.98104189389,0.484921879502019,773541,253257
1325.38653860868,0.484557567189866,774107,253655
1328.78772970934,0.484684107108317,774125,253587
1332.18461519586,0.484715758429863,773638,253409
1336.70709822258,0.484341770579158,773210,253487
1340.09393727613,0.48474101984604,772303,252957
1343.47647071555,0.484914620748222,770544,252280
1346.85469854083,0.484725733375873,768484,251715
1350.22862075199,0.485241724786126,765479,250433
1353.59823734901,0.48572263510081,761783,248948
1356.9635483319,0.484792385822752,757353,248031
1360.32455370065,0.485431843882293,753301,246341
1363.68125345528,0.485681555988983,750032,245131
1368.15015550613,0.484407276162386,745699,244431
1371.49680882778,0.486025194320307,742756,242561
1374.8391565353,0.485838840712085,737941,241092
1378.17719862868,0.485609787108587,730944,238932
1381.51093510794,0.485431439508735,722577,236294
1384.84036597306,0.486075185868493,714688,233368
1388.16549122405,0.486657454089508,708057,230893
1391.48631086091,0.486503298305014,702438,229142
1394.80282488363,0.486857374063445,697872,227467
1399.21814595862,0.488786167698568,693949,225186
1402.52461354837,0.489707171788602,692334,224186
1405.82677552399,0.49112692408567,691481,223179
1409.12463188548,0.490938679123499,690404,222928
1412.41818263283,0.491445390938965,689669,222431
1415.70742776605,0.493083568137408,689300,221475
1418.99236728514,0.491786318612653,688867,221998
1422.2730011901,0.492110792524581,688590,221743
1425.54932948093,0.491981988642912,688451,221764
1429.91106958005,0.492453101227595,688154,221428
1433.1773514379,0.491217222469668,688281,222100
1436.43932768162,0.49142251339044,687698,221807
1439.6969983112,0.490415281865809,687899,222387
1442.95036332666,0.490891188716011,687845,222126
1446.19942272798,0.489996716138186,687533,222483
1449.44417651517,0.489522157581163,687026,222562
1452.68462468823,0.489770795143334,686150,222151
1456.99852463033,0.488682953497206,684797,222269
1460.22892637041,0.489163978701796,683329,221547
1463.45502249637,0.489257385286032,680755,220665
1466.67681300819,0.488431809891799,678523,220360
1469.89429790587,0.48826234998283,676233,219702
1473.10747718943,0.488208403759973,673570,218864
1476.31635085885,0.487949000982119,670455,217982
1479.52091891415,0.487592499253978,667182,217096
1482.72118135531,0.487800980819498,663865,215913
1486.98150032154,0.487628980602872,658995,214414
1490.17171632972,0.487476393677124,655092,213219
1493.35762672377,0.486747024127452,651085,212271
1496.53923150369,0.486441604956585,646799,211022
1499.71653066948,0.486214969049834,642960,209879
1502.88952422114,0.486148199314387,638527,208464
1506.05821215866,0.486621036329226,633881,206722
1509.22259448206,0.485956742844473,629180,205503
1512.38267119132,0.486131123448992,624042,203743
1516.58940918168,0.485843714072573,616329,201358
1519.73943945797,0.48486633351365,611407,200200
1522.88516412012,0.485255874955888,605885,198214
1526.02658316814,0.485744133864572,600180,196127
1529.16369660203,0.485184807934932,594432,194499
1532.29650442179,0.484428724855488,588422,192868
1535.42500662741,0.484547021245432,582430,190852
1538.54920321891,0.484187536199658,575746,188818
1541.66909419627,0.484725630201477,569270,186463
1545.82225121076,0.484111207891375,560499,183850
1548.93209575515,0.48403657941743,553712,181655
1552.0376346854,0.483752629195195,545887,179205
1555.13886800153,0.484202993659918,538516,176602
1558.23579570352,0.483436947860729,531059,174464
1561.32841779137,0.484581575958337,523506,171530
1564.4167342651,0.483980985361953,515346,169090
1567.50074512469,0.483923574675976,507178,166432
1570.58045037016,0.483870671896036,498542,163618
1574.68002640879,0.483376525948375,486851,159963
1577.74968522127,0.485198888259622,477709,156302
1580.81503841963,0.484470300353477,468371,153504
1583.87608600385,0.485686582850284,459159,150064
1586.93282797394,0.485886413371043,449945,146985
1589.9852643299,0.487014581639455,440533,143537
