***Scan Config Information***,,,,,,,***Reference Scan Information***,,,,,,,
Scan Config Name:,Column 1,,,,,,Scan Config Name:,Built-in Factory Reference,,,,,,,,
Scan Config Type:,Slew,Num Section:,1,,,,Scan Config Type:,Slew,Num Section:,1,,,,,
Section Config Type:,Column,,,,,,Section Config Type:,Column,,,,,,,
Start Wavelength (nm):,900,,,,,,Start Wavelength (nm):,900,,,,,,,
End Wavelength (nm):,1700,,,,,,End Wavelength (nm):,1700,,,,,,,
Pattern Width (nm):,7.03,,,,,,Pattern Width (nm):,7.03,,,,,,,
Exposure (ms):,0.635,,,,,,Exposure (ms):,0.635,,,,,,,
Digital Resolution:,228,,,,,,Digital Resolution:,228,,,,,,,
Num Repeats:,6,,,,,,Num Repeats:,30,,,,,,,
PGA Gain:,64,,,,,,PGA Gain:,64,,,,,,,
System Temp (C):,49.15,,,,,,System Temp (C):,27.52,,,,,,,
Humidity (%):,14.47,,,,,,Humidity (%):,73.2,,,,,,,
Lamp Intensity:,2670,,,,,,Lamp Intensity:,2274,,,,,,,
Data Date-Time:,27/10/20 @ 15:0:0,,,,,,Data Date-Time:,9/7/19 @ 16:39:9,,,,,,,
Total Measurement Time in sec:,1.8151441,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
***General Information***,,,,,,,***Calibration Coefficients***,,,,,,,
Model Name:,NIR-X-XX,,,,,,Shift Vector Coefficients:,-6.85384978732833,0.0551332794684546,-0.000110731550088635,,,,,
Serial Number:,925R021,(95UB122GC1A925R021),,,,,Pixel to Wavelength Coefficients:,1790.66412099084,-0.917492857141292,-0.000239200785115314,,,,,
GUI Version:,2.4.4,,,,,,Versions (Cal/Ref/Cfg):,1,3,1,,,,,
TIVA Version:,2.1.0.67,,,,,,***Lamp Usage * **,,,,,,,
DLPC Version:,2.0.0,,,,,,Total Time(HH:MM:SS):,NA,,,,,,
UUID:,DE:67:0C:88:67:19:47:21,,,,,,***Device/Error Status***,,,,,,,
Main Board Version:,D,,,,,,Device Status:,0x00000001,,,,,,
Detector Board Version:,B,,,,,,Error status:,0x00000000,Error Code:,0x00000000000000000000000000000000,,,,
,,,,,,,,,,,,,,,
***Scan Data***,,,,,,,,,,,,,,
Wavelength (nm),Sample Signal (unitless)
901.630473432251,34292
905.531115772228,37038
909.427452498074,39821
913.319483609787,42630
917.207209107368,46302
921.090628990817,50547
924.969743260134,55821
930.13519799724,64041
934.004265833582,71100
937.869028055792,77703
941.72948466387,83924
945.585635657816,89175
949.43748103763,93571
953.285020803312,97951
957.128254954862,101937
960.967183492279,105081
966.07905725352,109743
969.907939357962,113055
973.732515848273,115948
977.552786724452,118673
981.368751986498,121378
985.180411634413,123822
988.987765668195,126225
992.790814087846,128524
996.589556893364,129531
1001.64784967874,131825
1005.43654605128,133110
1009.22093680969,134035
1013.00102195397,135027
1016.77680148412,135045
1020.54827540013,136011
1024.31544370202,135716
1028.07830638977,135964
1031.83686346339,135542
1036.8415752729,136105
1040.59008591354,135479
1044.33429094005,135071
1048.07419035243,134947
1051.80978415068,134887
1055.5410723348,134885
1059.26805490478,134709
1062.99073186063,134715
1066.70910320235,134857
1071.66023403599,135450
1075.36855894474,135632
1079.07257823935,136771
1082.77229191983,137643
1086.46769998618,138767
1090.1588024384,139503
1093.84559927648,141233
1097.52809050043,142259
1101.20627611025,143788
1106.10382596803,145770
1109.77196514487,147551
1113.43579870759,148852
1117.09532665617,150079
1120.75054899062,151472
1124.40146571093,152519
1128.04807681712,153735
1131.69038230917,155439
1135.32838218709,157352
1140.172351069,160242
1143.80030451395,162372
1147.42395234476,163419
1151.04329456145,165175
1154.658331164,166813
1158.26906215241,168914
1161.8754875267,170650
1165.47760728685,172009
1169.07542143287,174079
1173.86580933892,176259
1177.45357705197,178161
1181.03703915088,180605
1184.61619563566,182732
1188.19104650631,185373
1191.76159176283,187357
1195.32783140522,190279
1198.88976543347,192719
1202.44739384759,195260
1207.18420077777,198265
1210.73178275892,200961
1214.27505912594,203179
1217.81402987882,205889
1221.34869501757,208523
1224.87905454219,211162
1228.40510845267,213553
1231.92685674903,216325
1235.44429943125,218213
1240.12752538557,221035
1243.63492163481,223081
1247.13801226993,224240
1250.63679729091,225809
1254.13127669776,227885
1257.62145049048,231450
1261.10731866907,234510
1264.58888123353,238441
1268.06613818385,241287
1272.6957831623,244776
1276.16299367965,247844
1279.62589858286,249716
1283.08449787195,252007
1286.5387915469,253809
1289.98877960772,255660
1293.43446205441,257289
1296.87583888696,258711
1300.31291010539,259948
1304.88897410797,261487
1308.31599889342,262329
1311.73871806474,263054
1315.15713162192,263557
1318.57123956497,263606
1321.98104189389,264392
1325.38653860868,264411
1328.78772970934,264172
1332.18461519586,263943
1336.70709822258,264147
1340.09393727613,263848
1343.47647071555,262634
1346.85469854083,262151
1350.22862075199,260860
1353.59823734901,259785
1356.9635483319,257316
1360.32455370065,256206
1363.68125345528,255057
1368.15015550613,253145
1371.49680882778,252412
1374.8391565353,250891
1378.17719862868,248348
1381.51093510794,245700
1384.84036597306,243028
1388.16549122405,240485
1391.48631086091,238052
1394.80282488363,235927
1399.21814595862,233817
1402.52461354837,232923
1405.82677552399,232114
1409.12463188548,231688
1412.41818263283,230514
1415.70742776605,230183
1418.99236728514,229845
1422.2730011901,229995
1425.54932948093,230402
1429.91106958005,230746
1433.1773514379,231189
1436.43932768162,231566
1439.6969983112,231747
1442.95036332666,232033
1446.19942272798,232252
1449.44417651517,231891
1452.68462468823,231526
1456.99852463033,231400
1460.22892637041,230905
1463.45502249637,230361
1466.67681300819,229497
1469.89429790587,229127
1473.10747718943,228006
1476.31635085885,227477
1479.52091891415,226716
1482.72118135531,225728
1486.98150032154,224387
1490.17171632972,222922
1493.35762672377,221574
1496.53923150369,220342
1499.71653066948,218893
1502.88952422114,217407
1506.05821215866,215841
1509.22259448206,214768
1512.38267119132,213060
1516.58940918168,210401
1519.73943945797,208609
1522.88516412012,207232
1526.02658316814,204966
1529.16369660203,203163
1532.29650442179,201292
1535.42500662741,198935
1538.54920321891,196894
1541.66909419627,194597
1545.82225121076,191552
1548.93209575515,189110
1552.0376346854,186548
1555.13886800153,183999
1558.23579570352,181336
1561.32841779137,179278
1564.4167342651,176183
1567.50074512469,173822
1570.58045037016,170433
1574.68002640879,166575
1577.74968522127,163306
1580.81503841963,160373
1583.87608600385,156658
1586.93282797394,153539
1589.9852643299,150232
1593.03339507173,146778
1596.07722019942,143592
1599.11673971298,139897
1603.16273477575,135510
1606.19220785634,132688
1609.21737532279,129199
1612.23823717512,125456
1615.25479341331,122056
1618.26704403737,118867
1621.27498904729,116025
1624.27862844309,112767
1627.27796222475,109109
1631.27037631165,104934
1634.25966366034,101431
1637.2446453949,97740
1640.22532151532,93091
1643.20169202161,89219
1646.17375691377,85197
1649.1415161918,81035
1652.10496985569,76870
1655.06411790546,73211
1659.00295101649,68700
1661.95205263328,66769
1664.89684863594,64654
1667.83733902446,62757
1670.77352379886,61557
1673.70540295912,59286
1676.63297650524,56793
1679.55624443724,53421
1682.4752067551,50088
1686.36045889027,44988
1689.26937477516,40485
1692.17398504592,35913
1695.07428970255,31360
1697.97028874504,26839
1700.8619821734,22847
