***Scan Config Information***,,,,,,,***Reference Scan Information***,,,,,,,
Scan Config Name:,Column 1,,,,,,Scan Config Name:,Built-in Factory Reference,,,,,,,,
Scan Config Type:,Slew,Num Section:,1,,,,Scan Config Type:,Slew,Num Section:,1,,,,,
Section Config Type:,Column,,,,,,Section Config Type:,Column,,,,,,,
Start Wavelength (nm):,900,,,,,,Start Wavelength (nm):,900,,,,,,,
End Wavelength (nm):,1700,,,,,,End Wavelength (nm):,1700,,,,,,,
Pattern Width (nm):,7.03,,,,,,Pattern Width (nm):,7.03,,,,,,,
Exposure (ms):,0.635,,,,,,Exposure (ms):,0.635,,,,,,,
Digital Resolution:,228,,,,,,Digital Resolution:,228,,,,,,,
Num Repeats:,6,,,,,,Num Repeats:,30,,,,,,,
PGA Gain:,64,,,,,,PGA Gain:,64,,,,,,,
System Temp (C):,49.44,,,,,,System Temp (C):,27.52,,,,,,,
Humidity (%):,14.33,,,,,,Humidity (%):,73.2,,,,,,,
Lamp Intensity:,2670,,,,,,Lamp Intensity:,2274,,,,,,,
Data Date-Time:,27/10/20 @ 15:0:43,,,,,,Data Date-Time:,9/7/19 @ 16:39:9,,,,,,,
Total Measurement Time in sec:,1.7951768,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
***General Information***,,,,,,,***Calibration Coefficients***,,,,,,,
Model Name:,NIR-X-XX,,,,,,Shift Vector Coefficients:,-6.85384978732833,0.0551332794684546,-0.000110731550088635,,,,,
Serial Number:,925R021,(95UB122GC1A925R021),,,,,Pixel to Wavelength Coefficients:,1790.66412099084,-0.917492857141292,-0.000239200785115314,,,,,
GUI Version:,2.4.4,,,,,,Versions (Cal/Ref/Cfg):,1,3,1,,,,,
TIVA Version:,2.1.0.67,,,,,,***Lamp Usage * **,,,,,,,
DLPC Version:,2.0.0,,,,,,Total Time(HH:MM:SS):,NA,,,,,,
UUID:,DE:67:0C:88:67:19:47:21,,,,,,***Device/Error Status***,,,,,,,
Main Board Version:,D,,,,,,Device Status:,0x00000001,,,,,,
Detector Board Version:,B,,,,,,Error status:,0x00000000,Error Code:,0x00000000000000000000000000000000,,,,
,,,,,,,,,,,,,,,
***Scan Data***,,,,,,,,,,,,,,
Wavelength (nm),Sample Signal (unitless)
901.630473432251,10616
905.531115772228,12192
909.427452498074,12883
913.319483609787,14035
917.207209107368,15455
921.090628990817,16948
924.969743260134,18730
930.13519799724,21953
934.004265833582,24208
937.869028055792,27273
941.72948466387,29724
945.585635657816,31582
949.43748103763,34018
953.285020803312,35999
957.128254954862,37617
960.967183492279,39590
966.07905725352,42444
969.907939357962,43908
973.732515848273,45274
977.552786724452,46920
981.368751986498,48590
985.180411634413,50076
988.987765668195,50892
992.790814087846,52175
996.589556893364,52868
1001.64784967874,53941
1005.43654605128,54247
1009.22093680969,55063
1013.00102195397,55109
1016.77680148412,55135
1020.54827540013,55346
1024.31544370202,55469
1028.07830638977,55653
1031.83686346339,55190
1036.8415752729,54574
1040.59008591354,54889
1044.33429094005,54803
1048.07419035243,54073
1051.80978415068,54285
1055.5410723348,53712
1059.26805490478,53845
1062.99073186063,53837
1066.70910320235,53447
1071.66023403599,53185
1075.36855894474,53004
1079.07257823935,53593
1082.77229191983,53214
1086.46769998618,53524
1090.1588024384,53503
1093.84559927648,53953
1097.52809050043,54314
1101.20627611025,54706
1106.10382596803,55018
1109.77196514487,55160
1113.43579870759,55583
1117.09532665617,55844
1120.75054899062,56377
1124.40146571093,56697
1128.04807681712,56845
1131.69038230917,57433
1135.32838218709,58187
1140.172351069,58834
1143.80030451395,59029
1147.42395234476,59480
1151.04329456145,60464
1154.658331164,60734
1158.26906215241,61560
1161.8754875267,61650
1165.47760728685,62334
1169.07542143287,62468
1173.86580933892,63844
1177.45357705197,64668
1181.03703915088,64745
1184.61619563566,65738
1188.19104650631,66842
1191.76159176283,67942
1195.32783140522,68804
1198.88976543347,69927
1202.44739384759,71031
1207.18420077777,72497
1210.73178275892,73551
1214.27505912594,74239
1217.81402987882,75880
1221.34869501757,77121
1224.87905454219,78189
1228.40510845267,79502
1231.92685674903,81243
1235.44429943125,82453
1240.12752538557,83770
1243.63492163481,85169
1247.13801226993,85766
1250.63679729091,86631
1254.13127669776,88073
1257.62145049048,89309
1261.10731866907,90939
1264.58888123353,92584
1268.06613818385,94029
1272.6957831623,96063
1276.16299367965,97363
1279.62589858286,98377
1283.08449787195,99036
1286.5387915469,100152
1289.98877960772,100682
1293.43446205441,101806
1296.87583888696,102385
1300.31291010539,102983
1304.88897410797,103866
1308.31599889342,104423
1311.73871806474,104331
1315.15713162192,104443
1318.57123956497,104478
1321.98104189389,104812
1325.38653860868,104962
1328.78772970934,104802
1332.18461519586,104749
1336.70709822258,105092
1340.09393727613,104971
1343.47647071555,104680
1346.85469854083,104361
1350.22862075199,104167
1353.59823734901,103321
1356.9635483319,102907
1360.32455370065,102605
1363.68125345528,102212
1368.15015550613,101234
1371.49680882778,101024
1374.8391565353,100367
1378.17719862868,99389
1381.51093510794,98489
1384.84036597306,97469
1388.16549122405,96660
1391.48631086091,96015
1394.80282488363,95562
1399.21814595862,95025
1402.52461354837,94804
1405.82677552399,94539
1409.12463188548,94192
1412.41818263283,94031
1415.70742776605,94313
1418.99236728514,93845
1422.2730011901,94111
1425.54932948093,94089
1429.91106958005,94449
1433.1773514379,94552
1436.43932768162,94403
1439.6969983112,94849
1442.95036332666,94793
1446.19942272798,94979
1449.44417651517,94867
1452.68462468823,95040
1456.99852463033,95207
1460.22892637041,94393
1463.45502249637,94091
1466.67681300819,94286
1469.89429790587,93907
1473.10747718943,93439
1476.31635085885,93463
1479.52091891415,92820
1482.72118135531,92432
1486.98150032154,92311
1490.17171632972,91707
1493.35762672377,91192
1496.53923150369,90638
1499.71653066948,90301
1502.88952422114,89763
1506.05821215866,89424
1509.22259448206,88864
1512.38267119132,88758
1516.58940918168,87552
1519.73943945797,86821
1522.88516412012,86625
1526.02658316814,85877
1529.16369660203,84751
1532.29650442179,84404
1535.42500662741,83489
1538.54920321891,82960
1541.66909419627,81959
1545.82225121076,80879
1548.93209575515,80233
1552.0376346854,79654
1555.13886800153,78354
1558.23579570352,77723
1561.32841779137,76719
1564.4167342651,76087
1567.50074512469,74887
1570.58045037016,73729
1574.68002640879,72035
1577.74968522127,70957
1580.81503841963,69923
1583.87608600385,68996
1586.93282797394,67665
1589.9852643299,66581
1593.03339507173,65386
1596.07722019942,64240
1599.11673971298,63325
1603.16273477575,61177
1606.19220785634,60048
1609.21737532279,58869
1612.23823717512,57604
1615.25479341331,56482
1618.26704403737,55239
1621.27498904729,54326
1624.27862844309,52952
1627.27796222475,51632
1631.27037631165,50201
1634.25966366034,48707
1637.2446453949,46736
1640.22532151532,45809
1643.20169202161,44265
1646.17375691377,42966
1649.1415161918,41217
1652.10496985569,39192
1655.06411790546,38146
1659.00295101649,35985
1661.95205263328,35440
1664.89684863594,34427
1667.83733902446,33084
1670.77352379886,32283
1673.70540295912,30990
1676.63297650524,29929
1679.55624443724,28065
1682.4752067551,26216
1686.36045889027,23560
1689.26937477516,21226
1692.17398504592,18888
1695.07428970255,15955
1697.97028874504,14123
1700.8619821734,11894
