***Scan Config Information***,,,,,,,***Reference Scan Information***,,,,,,,
Scan Config Name:,Column 1,,,,,,Scan Config Name:,Built-in Factory Reference,,,,,,,,
Scan Config Type:,Slew,Num Section:,1,,,,Scan Config Type:,Slew,Num Section:,1,,,,,
Section Config Type:,Column,,,,,,Section Config Type:,Column,,,,,,,
Start Wavelength (nm):,900,,,,,,Start Wavelength (nm):,900,,,,,,,
End Wavelength (nm):,1700,,,,,,End Wavelength (nm):,1700,,,,,,,
Pattern Width (nm):,7.03,,,,,,Pattern Width (nm):,7.03,,,,,,,
Exposure (ms):,0.635,,,,,,Exposure (ms):,0.635,,,,,,,
Digital Resolution:,228,,,,,,Digital Resolution:,228,,,,,,,
Num Repeats:,6,,,,,,Num Repeats:,30,,,,,,,
PGA Gain:,64,,,,,,PGA Gain:,64,,,,,,,
System Temp (C):,54.06,,,,,,System Temp (C):,27.52,,,,,,,
Humidity (%):,13.81,,,,,,Humidity (%):,73.2,,,,,,,
Lamp Intensity:,2724,,,,,,Lamp Intensity:,2274,,,,,,,
Data Date-Time:,27/10/20 @ 14:37:4,,,,,,Data Date-Time:,9/7/19 @ 16:39:9,,,,,,,
Total Measurement Time in sec:,1.8420988,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
***General Information***,,,,,,,***Calibration Coefficients***,,,,,,,
Model Name:,NIR-X-XX,,,,,,Shift Vector Coefficients:,-6.85384978732833,0.0551332794684546,-0.000110731550088635,,,,,
Serial Number:,925R021,(95UB122GC1A925R021),,,,,Pixel to Wavelength Coefficients:,1790.66412099084,-0.917492857141292,-0.000239200785115314,,,,,
GUI Version:,2.4.4,,,,,,Versions (Cal/Ref/Cfg):,1,3,1,,,,,
TIVA Version:,2.1.0.67,,,,,,***Lamp Usage * **,,,,,,,
DLPC Version:,2.0.0,,,,,,Total Time(HH:MM:SS):,NA,,,,,,
UUID:,00:00:00:00:00:00:00:00,,,,,,***Device/Error Status***,,,,,,,
Main Board Version:,D,,,,,,Device Status:,0x00000001,,,,,,
Detector Board Version:,B,,,,,,Error status:,0x00000000,Error Code:,0x00000000000000000000000000000000,,,,
,,,,,,,,,,,,,,,
***Scan Data***,,,,,,,,,,,,,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.630473432251,0.561596466584816,102131,28026
905.531115772228,0.562982920930617,110950,30349
909.427452498074,0.568113789681917,119508,32306
913.319483609787,0.573742770797856,129795,34635
917.207209107368,0.578750402083828,143166,37765
921.090628990817,0.590364539164101,160172,41136
924.969743260134,0.602144064984479,180815,45195
930.13519799724,0.603038927873998,210522,52512
934.004265833582,0.602628332885938,231687,57846
937.869028055792,0.590648398316496,249996,64163
941.72948466387,0.583339357845126,265685,69347
945.585635657816,0.578200511766463,279147,73728
949.43748103763,0.571846109324976,291226,78052
953.285020803312,0.568024910908698,302792,81869
957.128254954862,0.567682792978458,314069,84985
960.967183492279,0.564946268805028,325247,88566
966.07905725352,0.565570438727483,339962,92440
969.907939357962,0.564611845325251,350977,95646
973.732515848273,0.564868104204077,361509,98458
977.552786724452,0.567206557068729,371608,100665
981.368751986498,0.566651734063994,380605,103234
985.180411634413,0.567896766618423,389074,105229
988.987765668195,0.567904040078629,396542,107247
992.790814087846,0.569057759740362,402965,108695
996.589556893364,0.56972087333136,408092,109910
1001.64784967874,0.569532170338605,414610,111714
1005.43654605128,0.567932029349639,417748,112975
1009.22093680969,0.567664827627938,419882,113622
1013.00102195397,0.566905760715896,421613,114290
1016.77680148412,0.56714968924876,422828,114555
1020.54827540013,0.566580489392771,423181,114801
1024.31544370202,0.566217518373674,422798,114793
1028.07830638977,0.566272318203036,422122,114595
1031.83686346339,0.565932042006474,421427,114496
1036.8415752729,0.567361281397604,420017,113738
1040.59008591354,0.566075927914205,418356,113624
1044.33429094005,0.565775957503427,416485,113194
1048.07419035243,0.566054544323068,415390,112824
1051.80978415068,0.566539846212038,414299,112402
1055.5410723348,0.565330536487776,413158,112405
1059.26805490478,0.565949567820311,412194,111983
1062.99073186063,0.567356396461476,411685,111483
1066.70910320235,0.567040756693279,411349,111473
1071.66023403599,0.567498502005883,411406,111371
1075.36855894474,0.568687597445599,412471,111354
1079.07257823935,0.568224489837957,413974,111879
1082.77229191983,0.566185344608712,415714,112878
1086.46769998618,0.567510783525708,417657,113060
1090.1588024384,0.568147284637401,419594,113418
1093.84559927648,0.569442277239778,422591,113888
1097.52809050043,0.568895172834404,425209,114738
1101.20627611025,0.568300967927844,428025,115656
1106.10382596803,0.569306416372862,432567,116613
