***Scan Config Information***,,,,,,,***Reference Scan Information***,,,,,,,
Scan Config Name:,Column 1,,,,,,Scan Config Name:,Built-in Factory Reference,,,,,,,,
Scan Config Type:,Slew,Num Section:,1,,,,Scan Config Type:,Slew,Num Section:,1,,,,,
Section Config Type:,Column,,,,,,Section Config Type:,Column,,,,,,,
Start Wavelength (nm):,900,,,,,,Start Wavelength (nm):,900,,,,,,,
End Wavelength (nm):,1700,,,,,,End Wavelength (nm):,1700,,,,,,,
Pattern Width (nm):,7.03,,,,,,Pattern Width (nm):,7.03,,,,,,,
Exposure (ms):,0.635,,,,,,Exposure (ms):,0.635,,,,,,,
Digital Resolution:,228,,,,,,Digital Resolution:,228,,,,,,,
Num Repeats:,6,,,,,,Num Repeats:,30,,,,,,,
PGA Gain:,64,,,,,,PGA Gain:,64,,,,,,,
System Temp (C):,54.02,,,,,,System Temp (C):,27.52,,,,,,,
Humidity (%):,13.86,,,,,,Humidity (%):,73.2,,,,,,,
Lamp Intensity:,2723,,,,,,Lamp Intensity:,2274,,,,,,,
Data Date-Time:,27/10/20 @ 14:36:43,,,,,,Data Date-Time:,9/7/19 @ 16:39:9,,,,,,,
Total Measurement Time in sec:,1.8111482,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
***General Information***,,,,,,,***Calibration Coefficients***,,,,,,,
Model Name:,NIR-X-XX,,,,,,Shift Vector Coefficients:,-6.85384978732833,0.0551332794684546,-0.000110731550088635,,,,,
Serial Number:,925R021,(95UB122GC1A925R021),,,,,Pixel to Wavelength Coefficients:,1790.66412099084,-0.917492857141292,-0.000239200785115314,,,,,
GUI Version:,2.4.4,,,,,,Versions (Cal/Ref/Cfg):,1,3,1,,,,,
TIVA Version:,2.1.0.67,,,,,,***Lamp Usage * **,,,,,,,
DLPC Version:,2.0.0,,,,,,Total Time(HH:MM:SS):,NA,,,,,,
UUID:,00:00:00:00:00:00:00:00,,,,,,***Device/Error Status***,,,,,,,
Main Board Version:,D,,,,,,Device Status:,0x00000001,,,,,,
Detector Board Version:,B,,,,,,Error status:,0x00000000,Error Code:,0x00000000000000000000000000000000,,,,
,,,,,,,,,,,,,,,
***Scan Data***,,,,,,,,,,,,,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.630473432251,0.659394540268292,102131,22375
905.531115772228,0.664680885700663,110950,24013
909.427452498074,0.664768457874208,119508,25860
913.319483609787,0.669650806186198,129795,27772
917.207209107368,0.67617822005978,143166,30176
921.090628990817,0.690610312222919,160172,32657
924.969743260134,0.697052745004333,180815,36323
930.13519799724,0.702339446520835,210522,41779
934.004265833582,0.693469620494215,231687,46928
937.869028055792,0.685957205552981,249996,51520
941.72948466387,0.678052059394401,265685,55759
945.585635657816,0.669451446245541,279147,59756
949.43748103763,0.662833296132173,291226,63299
953.285020803312,0.659362382952647,302792,66341
957.128254954862,0.656774654821185,314069,69223
960.967183492279,0.653838541523496,325247,72173
966.07905725352,0.653828695805283,339962,75440
969.907939357962,0.654427469882025,350977,77777
973.732515848273,0.652765845832715,361509,80418
977.552786724452,0.654637729611355,371608,82309
981.368751986498,0.65295014843106,380605,84630
985.180411634413,0.65563982025849,389074,85979
988.987765668195,0.655116312249085,396542,87735
992.790814087846,0.656238568960874,402965,88926
996.589556893364,0.655262752014261,408092,90260
1001.64784967874,0.657511618765699,414610,91228
1005.43654605128,0.657254026703018,417748,91973
1009.22093680969,0.654990013840822,419882,92926
1013.00102195397,0.655004421677207,421613,93306
1016.77680148412,0.655096735800227,422828,93555
1020.54827540013,0.657250065002296,423181,93170
1024.31544370202,0.656376978774767,422798,93273
1028.07830638977,0.656432331964678,422122,93112
1031.83686346339,0.656991902680154,421427,92839
1036.8415752729,0.657576097188225,420017,92404
1040.59008591354,0.655258746258403,418356,92531
1044.33429094005,0.656917563004688,416485,91766
1048.07419035243,0.6558499642988,415390,91750
1051.80978415068,0.6574095341509,414299,91181
1055.5410723348,0.660091884160008,413158,90370
1059.26805490478,0.657661999902294,412194,90665
1062.99073186063,0.656857214776048,411685,90721
1066.70910320235,0.659881086211466,411349,90018
1071.66023403599,0.658299205261003,411406,90359
1075.36855894474,0.657877118858088,412471,90681
1079.07257823935,0.658877651358251,413974,90802
1082.77229191983,0.658476116758809,415714,91268
1086.46769998618,0.658000738476317,417657,91795
1090.1588024384,0.657147897924,419594,92402
1093.84559927648,0.657881155899534,422591,92905
1097.52809050043,0.657911620554053,425209,93474
1101.20627611025,0.65663057887685,428025,94371
1106.10382596803,0.656719023191557,432567,95353
1109.77196514487,0.656676428873738,436480,96225
1113.43579870759,0.653045830412863,440246,97870
1117.09532665617,0.653924386221868,443887,98480
1120.75054899062,0.656193683403671,447164,98690
1124.40146571093,0.654656386406588,450722,99828
1128.04807681712,0.654406901007149,454231,100663
1131.69038230917,0.655240587079994,457509,101195
1135.32838218709,0.655401277766598,460998,101929
1140.172351069,0.653126339844973,466130,103605
1143.80030451395,0.653817373110909,469905,104278
1147.42395234476,0.653764885590567,473615,105114
1151.04329456145,0.65039268779716,477816,106873
1154.658331164,0.652535315318384,482210,107325
1158.26906215241,0.652193082436846,486791,108430
1161.8754875267,0.65357890837967,491522,109135
1165.47760728685,0.652545446328462,496370,110474
1169.07542143287,0.651856375218574,501518,111797
1173.86580933892,0.652873209690569,508584,113107
1177.45357705197,0.65172868451472,514246,114668
1181.03703915088,0.650452487471292,520200,116337
1184.61619563566,0.651109101756469,526464,117560
1188.19104650631,0.650610758950199,532807,119113
1191.76159176283,0.650588192978939,539596,120637
1195.32783140522,0.648674722269003,546393,122696
1198.88976543347,0.648417345454817,553751,124422
1202.44739384759,0.64775770332606,560985,126239
1207.18420077777,0.647037235228263,570818,128665
1210.73178275892,0.647060674440251,578511,130392
1214.27505912594,0.646673662819217,586183,132239
1217.81402987882,0.644101903552811,593928,134782
1221.34869501757,0.644929350833428,601639,136272
1224.87905454219,0.645069268002018,609460,137999
1228.40510845267,0.644029592726854,617092,140062
1231.92685674903,0.643803345596673,624195,141748
1235.44429943125,0.644383596679354,631507,143217
1240.12752538557,0.643244506438843,640742,145693
1243.63492163481,0.643963559219791,646786,146824
1247.13801226993,0.643026002489487,651721,148264
1250.63679729091,0.643395005963785,656626,149253
1254.13127669776,0.644263231680908,663080,150419
1257.62145049048,0.642769206900692,672260,153027
1261.10731866907,0.643470488580436,682710,155155
1264.58888123353,0.643615538171592,693458,157545
1268.06613818385,0.644136600272841,703122,159549
1272.6957831623,0.64509209274231,715010,161890
1276.16299367965,0.644385858490709,722504,163853
1279.62589858286,0.644953659113977,730050,165348
1283.08449787195,0.644512988865527,736852,167058
1286.5387915469,0.645516667934899,742717,167999
1289.98877960772,0.646092439926628,748138,169001
1293.43446205441,0.647283987172768,753172,169672
1296.87583888696,0.645652294697684,757640,171321
1300.31291010539,0.646067054227035,761312,171987
1304.88897410797,0.646884398769679,765447,172596
1308.31599889342,0.646117826634247,767807,173434
1311.73871806474,0.64701300712403,770070,173587
1315.15713162192,0.647423801714779,771376,173717
1318.57123956497,0.647825914927656,772495,173808
1321.98104189389,0.646737684988804,773541,174480
1325.38653860868,0.647237082868105,774107,174407
1328.78772970934,0.64695842324188,774125,174523
1332.18461519586,0.646520916069323,773638,174589
1336.70709822258,0.647199452762203,773210,174220
1340.09393727613,0.647248457465727,772303,173996
1343.47647071555,0.64746792732264,770544,173512
1346.85469854083,0.648098631583926,768484,172797
1350.22862075199,0.648250838203714,765479,172061
1353.59823734901,0.649546874608183,761783,170720
1356.9635483319,0.648160214036845,757353,170270
1360.32455370065,0.648681137038159,753301,169156
1363.68125345528,0.65023607613913,750032,167820
1368.15015550613,0.649096175595342,745699,167289
1371.49680882778,0.64989385888334,742756,166323
1374.8391565353,0.649000648016711,737941,165585
1378.17719862868,0.650050371488017,730944,163619
1381.51093510794,0.649819732245562,722577,161832
1384.84036597306,0.649630226000208,714688,160135
1388.16549122405,0.6496801586621,708057,158631
1391.48631086091,0.649768851859802,702438,157340
1394.80282488363,0.651643390423378,697872,155644
1399.21814595862,0.652140538463343,693949,154592
1402.52461354837,0.652535567988056,692334,154092
