***Scan Config Information***,,,,,,,***Reference Scan Information***,,,,,,,
Scan Config Name:,Column 1,,,,,,Scan Config Name:,Built-in Factory Reference,,,,,,,,
Scan Config Type:,Slew,Num Section:,1,,,,Scan Config Type:,Slew,Num Section:,1,,,,,
Section Config Type:,Column,,,,,,Section Config Type:,Column,,,,,,,
Start Wavelength (nm):,900,,,,,,Start Wavelength (nm):,900,,,,,,,
End Wavelength (nm):,1700,,,,,,End Wavelength (nm):,1700,,,,,,,
Pattern Width (nm):,7.03,,,,,,Pattern Width (nm):,7.03,,,,,,,
Exposure (ms):,0.635,,,,,,Exposure (ms):,0.635,,,,,,,
Digital Resolution:,228,,,,,,Digital Resolution:,228,,,,,,,
Num Repeats:,6,,,,,,Num Repeats:,30,,,,,,,
PGA Gain:,64,,,,,,PGA Gain:,64,,,,,,,
System Temp (C):,53.99,,,,,,System Temp (C):,27.52,,,,,,,
Humidity (%):,13.86,,,,,,Humidity (%):,73.2,,,,,,,
Lamp Intensity:,2725,,,,,,Lamp Intensity:,2274,,,,,,,
Data Date-Time:,27/10/20 @ 14:36:14,,,,,,Data Date-Time:,9/7/19 @ 16:39:9,,,,,,,
Total Measurement Time in sec:,1.78619,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
***General Information***,,,,,,,***Calibration Coefficients***,,,,,,,
Model Name:,NIR-X-XX,,,,,,Shift Vector Coefficients:,-6.85384978732833,0.0551332794684546,-0.000110731550088635,,,,,
Serial Number:,925R021,(95UB122GC1A925R021),,,,,Pixel to Wavelength Coefficients:,1790.66412099084,-0.917492857141292,-0.000239200785115314,,,,,
GUI Version:,2.4.4,,,,,,Versions (Cal/Ref/Cfg):,1,3,1,,,,,
TIVA Version:,2.1.0.67,,,,,,***Lamp Usage * **,,,,,,,
DLPC Version:,2.0.0,,,,,,Total Time(HH:MM:SS):,NA,,,,,,
UUID:,00:00:00:00:00:00:00:00,,,,,,***Device/Error Status***,,,,,,,
Main Board Version:,D,,,,,,Device Status:,0x00000001,,,,,,
Detector Board Version:,B,,,,,,Error status:,0x00000000,Error Code:,0x00000000000000000000000000000000,,,,
,,,,,,,,,,,,,,,
***Scan Data***,,,,,,,,,,,,,,
Wavelength (nm),Sample Signal (unitless)
901.630473432251,36440
905.531115772228,38975
909.427452498074,42066
913.319483609787,45012
917.207209107368,48605
921.090628990817,52968
924.969743260134,58585
930.13519799724,66799
934.004265833582,73934
937.869028055792,81110
941.72948466387,88024
945.585635657816,93456
949.43748103763,98712
953.285020803312,103511
957.128254954862,107307
960.967183492279,110884
966.07905725352,115929
969.907939357962,119219
973.732515848273,122342
977.552786724452,125752
981.368751986498,128143
985.180411634413,131056
988.987765668195,133093
992.790814087846,135385
996.589556893364,137118
1001.64784967874,139008
1005.43654605128,140630
1009.22093680969,140961
1013.00102195397,141972
1016.77680148412,142217
1020.54827540013,142388
1024.31544370202,142386
1028.07830638977,142230
1031.83686346339,142101
1036.8415752729,141640
1040.59008591354,141169
1044.33429094005,140835
1048.07419035243,139839
1051.80978415068,139881
1055.5410723348,139402
1059.26805490478,138855
1062.99073186063,138940
1066.70910320235,139508
1071.66023403599,139152
1075.36855894474,139586
1079.07257823935,140369
1082.77229191983,141214
1086.46769998618,141495
1090.1588024384,142715
1093.84559927648,144152
1097.52809050043,145607
1101.20627611025,146545
1106.10382596803,148565
1109.77196514487,150430
1113.43579870759,151497
1117.09532665617,153106
1120.75054899062,154705
1124.40146571093,155772
1128.04807681712,157107
1131.69038230917,158235
1135.32838218709,160123
1140.172351069,162146
1143.80030451395,164340
1147.42395234476,165364
1151.04329456145,167272
1154.658331164,168837
1158.26906215241,169987
1161.8754875267,171987
1165.47760728685,173870
1169.07542143287,175434
1173.86580933892,177817
1177.45357705197,179369
1181.03703915088,181771
1184.61619563566,183960
1188.19104650631,186046
1191.76159176283,188729
1195.32783140522,191359
1198.88976543347,193873
1202.44739384759,196591
1207.18420077777,199888
1210.73178275892,202215
1214.27505912594,205025
1217.81402987882,207225
1221.34869501757,210368
1224.87905454219,212657
1228.40510845267,214902
1231.92685674903,217285
1235.44429943125,219792
1240.12752538557,222521
1243.63492163481,224617
1247.13801226993,225850
1250.63679729091,227074
1254.13127669776,229460
1257.62145049048,233031
1261.10731866907,236101
1264.58888123353,239605
1268.06613818385,242630
1272.6957831623,246407
1276.16299367965,248929
1279.62589858286,251372
1283.08449787195,253146
1286.5387915469,255472
1289.98877960772,256735
1293.43446205441,258763
1296.87583888696,260019
1300.31291010539,261433
1304.88897410797,262935
1308.31599889342,263258
1311.73871806474,264392
1315.15713162192,264407
1318.57123956497,264887
1321.98104189389,265748
1325.38653860868,265887
1328.78772970934,265469
1332.18461519586,265579
1336.70709822258,265572
1340.09393727613,264638
1343.47647071555,264144
1346.85469854083,263250
1350.22862075199,261881
1353.59823734901,260849
1356.9635483319,259063
1360.32455370065,257580
1363.68125345528,256391
1368.15015550613,254986
1371.49680882778,253809
1374.8391565353,252226
1378.17719862868,249953
1381.51093510794,246711
1384.84036597306,244197
1388.16549122405,241602
1391.48631086091,239481
1394.80282488363,237640
1399.21814595862,235597
1402.52461354837,234666
1405.82677552399,233624
1409.12463188548,233090
1412.41818263283,232565
1415.70742776605,232884
1418.99236728514,232425
1422.2730011901,232070
1425.54932948093,232582
1429.91106958005,232462
1433.1773514379,232736
1436.43932768162,233046
1439.6969983112,233267
1442.95036332666,233447
1446.19942272798,233624
1449.44417651517,233199
1452.68462468823,233425
1456.99852463033,232861
1460.22892637041,232246
1463.45502249637,231971
1466.67681300819,231143
1469.89429790587,230003
1473.10747718943,229453
1476.31635085885,228553
1479.52091891415,227548
1482.72118135531,226391
1486.98150032154,224994
1490.17171632972,223474
1493.35762672377,222135
1496.53923150369,220963
1499.71653066948,219497
1502.88952422114,218185
1506.05821215866,216943
1509.22259448206,215101
1512.38267119132,213358
1516.58940918168,210615
1519.73943945797,208692
1522.88516412012,207262
1526.02658316814,205294
1529.16369660203,203124
1532.29650442179,201303
1535.42500662741,199450
1538.54920321891,197345
1541.66909419627,194803
1545.82225121076,192285
1548.93209575515,189705
1552.0376346854,187696
1555.13886800153,185075
1558.23579570352,182629
1561.32841779137,180279
1564.4167342651,177380
1567.50074512469,174388
1570.58045037016,172091
1574.68002640879,168068
1577.74968522127,164843
1580.81503841963,161536
1583.87608600385,158259
1586.93282797394,155242
1589.9852643299,151832
1593.03339507173,148696
1596.07722019942,145591
1599.11673971298,142314
1603.16273477575,138298
1606.19220785634,135309
1609.21737532279,132407
1612.23823717512,128912
1615.25479341331,125729
1618.26704403737,122608
1621.27498904729,119368
1624.27862844309,116764
1627.27796222475,113347
1631.27037631165,108828
1634.25966366034,105496
1637.2446453949,102170
1640.22532151532,98676
1643.20169202161,94279
1646.17375691377,91020
1649.1415161918,86867
1652.10496985569,83068
1655.06411790546,79560
1659.00295101649,75513
1661.95205263328,73254
1664.89684863594,71130
1667.83733902446,69446
1670.77352379886,67075
1673.70540295912,65188
1676.63297650524,62320
1679.55624443724,59396
1682.4752067551,55897
1686.36045889027,51083
1689.26937477516,47356
1692.17398504592,42971
1695.07428970255,38456
1697.97028874504,33472
1700.8619821734,29007
