***Scan Config Information***,,,,,,,***Reference Scan Information***,,,,,,,
Scan Config Name:,Column 1,,,,,,Scan Config Name:,Built-in Factory Reference,,,,,,,,
Scan Config Type:,Slew,Num Section:,1,,,,Scan Config Type:,Slew,Num Section:,1,,,,,
Section Config Type:,Column,,,,,,Section Config Type:,Column,,,,,,,
Start Wavelength (nm):,900,,,,,,Start Wavelength (nm):,900,,,,,,,
End Wavelength (nm):,1700,,,,,,End Wavelength (nm):,1700,,,,,,,
Pattern Width (nm):,7.03,,,,,,Pattern Width (nm):,7.03,,,,,,,
Exposure (ms):,0.635,,,,,,Exposure (ms):,0.635,,,,,,,
Digital Resolution:,228,,,,,,Digital Resolution:,228,,,,,,,
Num Repeats:,6,,,,,,Num Repeats:,30,,,,,,,
PGA Gain:,64,,,,,,PGA Gain:,64,,,,,,,
System Temp (C):,53.96,,,,,,System Temp (C):,27.52,,,,,,,
Humidity (%):,13.86,,,,,,Humidity (%):,73.2,,,,,,,
Lamp Intensity:,2724,,,,,,Lamp Intensity:,2274,,,,,,,
Data Date-Time:,27/10/20 @ 14:35:55,,,,,,Data Date-Time:,9/7/19 @ 16:39:9,,,,,,,
Total Measurement Time in sec:,1.8291247,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
***General Information***,,,,,,,***Calibration Coefficients***,,,,,,,
Model Name:,NIR-X-XX,,,,,,Shift Vector Coefficients:,-6.85384978732833,0.0551332794684546,-0.000110731550088635,,,,,
Serial Number:,925R021,(95UB122GC1A925R021),,,,,Pixel to Wavelength Coefficients:,1790.66412099084,-0.917492857141292,-0.000239200785115314,,,,,
GUI Version:,2.4.4,,,,,,Versions (Cal/Ref/Cfg):,1,3,1,,,,,
TIVA Version:,2.1.0.67,,,,,,***Lamp Usage * **,,,,,,,
DLPC Version:,2.0.0,,,,,,Total Time(HH:MM:SS):,NA,,,,,,
UUID:,00:00:00:00:00:00:00:00,,,,,,***Device/Error Status***,,,,,,,
Main Board Version:,D,,,,,,Device Status:,0x00000001,,,,,,
Detector Board Version:,B,,,,,,Error status:,0x00000000,Error Code:,0x00000000000000000000000000000000,,,,
,,,,,,,,,,,,,,,
***Scan Data***,,,,,,,,,,,,,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.630473432251,0.476594285921767,102131,34085
905.531115772228,0.476679160962154,110950,37021
909.427452498074,0.479734694836501,119508,39597
913.319483609787,0.484215528251146,129795,42564
917.207209107368,0.496856000866694,143166,45602
921.090628990817,0.504913606332679,160172,50081
924.969743260134,0.516682297235579,180815,55024
930.13519799724,0.522477344972853,210522,63215
934.004265833582,0.519555528719283,231687,70040
937.869028055792,0.512164879529309,249996,76872
941.72948466387,0.503565653950374,265685,83330
945.585635657816,0.500822550856762,279147,88107
949.43748103763,0.498088412464013,291226,92500
953.285020803312,0.494157806861708,302792,97048
957.128254954862,0.496708152416586,314069,100073
960.967183492279,0.496627233280002,325247,103654
966.07905725352,0.498380756961322,339962,107907
969.907939357962,0.498448049281376,350977,111386
973.732515848273,0.499017876592581,361509,114578
977.552786724452,0.503356708319836,371608,116608
981.368751986498,0.503491986904406,380605,119394
985.180411634413,0.504181727884351,389074,121857
988.987765668195,0.504510412120488,396542,124102
992.790814087846,0.505697171928006,402965,125768
996.589556893364,0.505806877929182,408092,127336
1001.64784967874,0.507875669464332,414610,128755
1005.43654605128,0.507445669524385,417748,129858
1009.22093680969,0.507553354251939,419882,130489
1013.00102195397,0.506550049167857,421613,131330
1016.77680148412,0.509396650032797,422828,130848
1020.54827540013,0.509765709820107,423181,130846
1024.31544370202,0.509498618727779,422798,130808
1028.07830638977,0.509215568172688,422122,130684
1031.83686346339,0.5098379396224,421427,130282
1036.8415752729,0.510424008567453,420017,129671
1040.59008591354,0.51035072174662,418356,129180
1044.33429094005,0.51087878036837,416485,128446
1048.07419035243,0.511568515183945,415390,127905
1051.80978415068,0.512103552104659,414299,127412
1055.5410723348,0.512911295451243,413158,126825
1059.26805490478,0.512719419848461,412194,126585
1062.99073186063,0.513333656704466,411685,126250
1066.70910320235,0.512924023258408,411349,126266
1071.66023403599,0.513300749822528,411406,126174
1075.36855894474,0.513996946282585,412471,126298
1079.07257823935,0.513001814654605,413974,127049
1082.77229191983,0.511560931009424,415714,128007
1086.46769998618,0.51068815672247,417657,128864
1090.1588024384,0.510194109529389,419594,129609
1093.84559927648,0.509621396763653,422591,130707
1097.52809050043,0.508654088221493,425209,131810
1101.20627611025,0.507823262150548,428025,132937
1106.10382596803,0.506685788856362,432567,134700
