***Scan Config Information***,,,,,,,***Reference Scan Information***,,,,,,,
Scan Config Name:,Column 1,,,,,,Scan Config Name:,Built-in Factory Reference,,,,,,,,
Scan Config Type:,Slew,Num Section:,1,,,,Scan Config Type:,Slew,Num Section:,1,,,,,
Section Config Type:,Column,,,,,,Section Config Type:,Column,,,,,,,
Start Wavelength (nm):,900,,,,,,Start Wavelength (nm):,900,,,,,,,
End Wavelength (nm):,1700,,,,,,End Wavelength (nm):,1700,,,,,,,
Pattern Width (nm):,7.03,,,,,,Pattern Width (nm):,7.03,,,,,,,
Exposure (ms):,0.635,,,,,,Exposure (ms):,0.635,,,,,,,
Digital Resolution:,228,,,,,,Digital Resolution:,228,,,,,,,
Num Repeats:,6,,,,,,Num Repeats:,30,,,,,,,
PGA Gain:,64,,,,,,PGA Gain:,64,,,,,,,
System Temp (C):,53.99,,,,,,System Temp (C):,27.52,,,,,,,
Humidity (%):,13.86,,,,,,Humidity (%):,73.2,,,,,,,
Lamp Intensity:,2725,,,,,,Lamp Intensity:,2274,,,,,,,
Data Date-Time:,27/10/20 @ 14:36:7,,,,,,Data Date-Time:,9/7/19 @ 16:39:9,,,,,,,
Total Measurement Time in sec:,1.8271262,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
***General Information***,,,,,,,***Calibration Coefficients***,,,,,,,
Model Name:,NIR-X-XX,,,,,,Shift Vector Coefficients:,-6.85384978732833,0.0551332794684546,-0.000110731550088635,,,,,
Serial Number:,925R021,(95UB122GC1A925R021),,,,,Pixel to Wavelength Coefficients:,1790.66412099084,-0.917492857141292,-0.000239200785115314,,,,,
GUI Version:,2.4.4,,,,,,Versions (Cal/Ref/Cfg):,1,3,1,,,,,
TIVA Version:,2.1.0.67,,,,,,***Lamp Usage * **,,,,,,,
DLPC Version:,2.0.0,,,,,,Total Time(HH:MM:SS):,NA,,,,,,
UUID:,00:00:00:00:00:00:00:00,,,,,,***Device/Error Status***,,,,,,,
Main Board Version:,D,,,,,,Device Status:,0x00000001,,,,,,
Detector Board Version:,B,,,,,,Error status:,0x00000000,Error Code:,0x00000000000000000000000000000000,,,,
,,,,,,,,,,,,,,,
***Scan Data***,,,,,,,,,,,,,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.630473432251,0.499189335340812,102131,32357
905.531115772228,0.49928847405777,110950,35143
909.427452498074,0.504200357613815,119508,37428
913.319483609787,0.508621576472091,129795,40238
917.207209107368,0.519482402984448,143166,43287
921.090628990817,0.530267516255421,160172,47241
924.969743260134,0.538309473799249,180815,52351
930.13519799724,0.548262596719468,210522,59571
934.004265833582,0.54074978834847,231687,66704
937.869028055792,0.535998589481054,249996,72767
941.72948466387,0.526761934636325,265685,78996
945.585635657816,0.517642016798787,279147,84760
949.43748103763,0.511965761061626,291226,89591
953.285020803312,0.509989201958096,302792,93574
957.128254954862,0.506535261455755,314069,97834
960.967183492279,0.505678802356571,325247,101516
966.07905725352,0.504076689896484,339962,106501
969.907939357962,0.505297747499822,350977,109643
973.732515848273,0.505471334953189,361509,112888
977.552786724452,0.505930428995486,371608,115919
981.368751986498,0.504715906540205,380605,119058
985.180411634413,0.507670573080714,389074,120882
988.987765668195,0.505817689773927,396542,123729
992.790814087846,0.507149917690786,402965,125348
996.589556893364,0.506325601558737,408092,127184
1001.64784967874,0.507171277730577,414610,128964
1005.43654605128,0.506787325930041,417748,130055
1009.22093680969,0.506363487400247,419882,130847
1013.00102195397,0.507258301834884,421613,131116
1016.77680148412,0.505139296418362,422828,132137
1020.54827540013,0.506264902236348,423181,131905
1024.31544370202,0.505769611136125,422798,131936
1028.07830638977,0.504328098901214,422122,132163
1031.83686346339,0.505644709794234,421427,131546
1036.8415752729,0.503763541598807,420017,131675
1040.59008591354,0.503622097541714,418356,131197
1044.33429094005,0.503596334969057,416485,130618
1048.07419035243,0.502838869745501,415390,130502
1051.80978415068,0.503808388587061,414299,129869
1055.5410723348,0.502099324362793,413158,130022
1059.26805490478,0.502329144683635,412194,129650
1062.99073186063,0.502983313002983,411685,129295
1066.70910320235,0.502863905022711,411349,129225
1071.66023403599,0.502185341370038,411406,129445
1075.36855894474,0.502339610994505,412471,129734
1079.07257823935,0.50252555642276,413974,130151
1082.77229191983,0.502642025192516,415714,130663
1086.46769998618,0.502316953012724,417657,131372
1090.1588024384,0.501466428792443,419594,132240
1093.84559927648,0.500321880531915,422591,133536
1097.52809050043,0.501877012949942,425209,133883
1101.20627611025,0.500842719417035,428025,135091
1106.10382596803,0.500726696237669,432567,136561
