***Scan Config Information***,,,,,,,***Reference Scan Information***,,,,,,,
Scan Config Name:,Column 1,,,,,,Scan Config Name:,Built-in Factory Reference,,,,,,,,
Scan Config Type:,Slew,Num Section:,1,,,,Scan Config Type:,Slew,Num Section:,1,,,,,
Section Config Type:,Column,,,,,,Section Config Type:,Column,,,,,,,
Start Wavelength (nm):,900,,,,,,Start Wavelength (nm):,900,,,,,,,
End Wavelength (nm):,1700,,,,,,End Wavelength (nm):,1700,,,,,,,
Pattern Width (nm):,7.03,,,,,,Pattern Width (nm):,7.03,,,,,,,
Exposure (ms):,0.635,,,,,,Exposure (ms):,0.635,,,,,,,
Digital Resolution:,228,,,,,,Digital Resolution:,228,,,,,,,
Num Repeats:,6,,,,,,Num Repeats:,30,,,,,,,
PGA Gain:,64,,,,,,PGA Gain:,64,,,,,,,
System Temp (C):,53.96,,,,,,System Temp (C):,27.52,,,,,,,
Humidity (%):,13.86,,,,,,Humidity (%):,73.2,,,,,,,
Lamp Intensity:,2724,,,,,,Lamp Intensity:,2274,,,,,,,
Data Date-Time:,27/10/20 @ 14:35:51,,,,,,Data Date-Time:,9/7/19 @ 16:39:9,,,,,,,
Total Measurement Time in sec:,1.8041627,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
***General Information***,,,,,,,***Calibration Coefficients***,,,,,,,
Model Name:,NIR-X-XX,,,,,,Shift Vector Coefficients:,-6.85384978732833,0.0551332794684546,-0.000110731550088635,,,,,
Serial Number:,925R021,(95UB122GC1A925R021),,,,,Pixel to Wavelength Coefficients:,1790.66412099084,-0.917492857141292,-0.000239200785115314,,,,,
GUI Version:,2.4.4,,,,,,Versions (Cal/Ref/Cfg):,1,3,1,,,,,
TIVA Version:,2.1.0.67,,,,,,***Lamp Usage * **,,,,,,,
DLPC Version:,2.0.0,,,,,,Total Time(HH:MM:SS):,NA,,,,,,
UUID:,00:00:00:00:00:00:00:00,,,,,,***Device/Error Status***,,,,,,,
Main Board Version:,D,,,,,,Device Status:,0x00000001,,,,,,
Detector Board Version:,B,,,,,,Error status:,0x00000000,Error Code:,0x00000000000000000000000000000000,,,,
,,,,,,,,,,,,,,,
***Scan Data***,,,,,,,,,,,,,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.630473432251,0.598768437743009,102131,25727
905.531115772228,0.605431536436379,110950,27523
909.427452498074,0.609922067033984,119508,29341
913.319483609787,0.614465127441375,129795,31535
917.207209107368,0.626332541007977,143166,33846
921.090628990817,0.637548462965147,160172,36901
924.969743260134,0.645596103591013,180815,40892
930.13519799724,0.655116650699937,210522,46578
934.004265833582,0.654818165456641,231687,51296
937.869028055792,0.646107581524391,249996,56471
941.72948466387,0.638112639986248,265685,61130
945.585635657816,0.631831894519459,279147,65163
949.43748103763,0.626919542290682,291226,68756
953.285020803312,0.622408744114037,302792,72233
957.128254954862,0.621067192590066,314069,75155
960.967183492279,0.621937628707899,325247,77674
966.07905725352,0.620086299997876,339962,81535
969.907939357962,0.620374230709848,350977,84121
973.732515848273,0.621575213035948,361509,86406
977.552786724452,0.621765022473522,371608,88781
981.368751986498,0.62015595557753,380605,91268
985.180411634413,0.623805974023578,389074,92518
988.987765668195,0.623018263761296,396542,94465
992.790814087846,0.622937286851054,402965,96013
996.589556893364,0.623476238679993,408092,97114
1001.64784967874,0.624706468485208,414610,98386
1005.43654605128,0.623357631143522,417748,99439
1009.22093680969,0.622641119552166,419882,100112
1013.00102195397,0.622169258062322,421613,100634
1016.77680148412,0.622259660241217,422828,100903
1020.54827540013,0.622863177157363,423181,100847
1024.31544370202,0.622353681822276,422798,100874
1028.07830638977,0.622973855368687,422122,100569
1031.83686346339,0.621641136021106,421427,100712
1036.8415752729,0.62260724220501,420017,100152
1040.59008591354,0.62159812041875,418356,99988
1044.33429094005,0.620307842175174,416485,99837
1048.07419035243,0.621004120373425,415390,99415
1051.80978415068,0.622196643106745,414299,98882
1055.5410723348,0.621332848495039,413158,98806
1059.26805490478,0.621295230315963,412194,98584
1062.99073186063,0.619887228592386,411685,98782
1066.70910320235,0.619910894136367,411349,98696
1071.66023403599,0.618363529343874,411406,99062
1075.36855894474,0.617766797867354,412471,99455
1079.07257823935,0.617799010143252,413974,99810
1082.77229191983,0.617614973131472,415714,100272
1086.46769998618,0.617376466790265,417657,100796
1090.1588024384,0.6160253362779,419594,101579
1093.84559927648,0.61694129380437,422591,102089
1097.52809050043,0.615209008311887,425209,103132
1101.20627611025,0.614970642130539,428025,103872
1106.10382596803,0.614339113412366,432567,105127
1109.77196514487,0.613852100273902,436480,106197
1113.43579870759,0.613784313819273,440246,107130
1117.09532665617,0.612519674021648,443887,108331
1120.75054899062,0.613167852452815,447164,108968
1124.40146571093,0.611471074946454,450722,110265
1128.04807681712,0.611613531851984,454231,111087
1131.69038230917,0.610290678898571,457509,112230
1135.32838218709,0.611355291824134,460998,112809
1140.172351069,0.611773669446835,466130,113955
1143.80030451395,0.609608605439922,469905,115452
1147.42395234476,0.610986179367255,473615,115995
1151.04329456145,0.609152601036899,477816,117519
1154.658331164,0.61026248136658,482210,118297
1158.26906215241,0.611631380855893,486791,119045
1161.8754875267,0.612549950175651,491522,119948
1165.47760728685,0.611465224604725,496370,121434
1169.07542143287,0.611700421289993,501518,122627
1173.86580933892,0.614273953939345,508584,123620
1177.45357705197,0.615558781388704,514246,124627
1181.03703915088,0.615896323352068,520200,125972
1184.61619563566,0.615157376994042,526464,127706
1188.19104650631,0.616185624274124,532807,128939
1191.76159176283,0.616607992476704,539596,130455
