***Scan Config Information***,,,,,,,***Reference Scan Information***,,,,,,,
Scan Config Name:,Column 1,,,,,,Scan Config Name:,Built-in Factory Reference,,,,,,,,
Scan Config Type:,Slew,Num Section:,1,,,,Scan Config Type:,Slew,Num Section:,1,,,,,
Section Config Type:,Column,,,,,,Section Config Type:,Column,,,,,,,
Start Wavelength (nm):,900,,,,,,Start Wavelength (nm):,900,,,,,,,
End Wavelength (nm):,1700,,,,,,End Wavelength (nm):,1700,,,,,,,
Pattern Width (nm):,7.03,,,,,,Pattern Width (nm):,7.03,,,,,,,
Exposure (ms):,0.635,,,,,,Exposure (ms):,0.635,,,,,,,
Digital Resolution:,228,,,,,,Digital Resolution:,228,,,,,,,
Num Repeats:,6,,,,,,Num Repeats:,30,,,,,,,
PGA Gain:,64,,,,,,PGA Gain:,64,,,,,,,
System Temp (C):,54.04,,,,,,System Temp (C):,27.52,,,,,,,
Humidity (%):,13.86,,,,,,Humidity (%):,73.2,,,,,,,
Lamp Intensity:,2724,,,,,,Lamp Intensity:,2274,,,,,,,
Data Date-Time:,27/10/20 @ 14:36:47,,,,,,Data Date-Time:,9/7/19 @ 16:39:9,,,,,,,
Total Measurement Time in sec:,1.7950293,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
***General Information***,,,,,,,***Calibration Coefficients***,,,,,,,
Model Name:,NIR-X-XX,,,,,,Shift Vector Coefficients:,-6.85384978732833,0.0551332794684546,-0.000110731550088635,,,,,
Serial Number:,925R021,(95UB122GC1A925R021),,,,,Pixel to Wavelength Coefficients:,1790.66412099084,-0.917492857141292,-0.000239200785115314,,,,,
GUI Version:,2.4.4,,,,,,Versions (Cal/Ref/Cfg):,1,3,1,,,,,
TIVA Version:,2.1.0.67,,,,,,***Lamp Usage * **,,,,,,,
DLPC Version:,2.0.0,,,,,,Total Time(HH:MM:SS):,NA,,,,,,
UUID:,00:00:00:00:00:00:00:00,,,,,,***Device/Error Status***,,,,,,,
Main Board Version:,D,,,,,,Device Status:,0x00000001,,,,,,
Detector Board Version:,B,,,,,,Error status:,0x00000000,Error Code:,0x00000000000000000000000000000000,,,,
,,,,,,,,,,,,,,,
***Scan Data***,,,,,,,,,,,,,,
Wavelength (nm),Reflectance (AU)
901.630473432251,0.322771734341189
905.531115772228,0.322938260477693
909.427452498074,0.316924389998996
913.319483609787,0.309657536885088
917.207209107368,0.301614908567677
921.090628990817,0.289657368329046
924.969743260134,0.284987418079252
930.13519799724,0.277676442367069
934.004265833582,0.276467820809972
937.869028055792,0.281852509640154
941.72948466387,0.2870353990628
945.585635657816,0.289671750009851
949.43748103763,0.290537245987652
953.285020803312,0.293046051414833
957.128254954862,0.293199901932378
960.967183492279,0.291935052437071
966.07905725352,0.291100181785023
969.907939357962,0.290868062579599
973.732515848273,0.290183646880161
977.552786724452,0.288451809433597
981.368751986498,0.287634161400927
985.180411634413,0.287312953319934
988.987765668195,0.287883755062515
992.790814087846,0.286158847542591
996.589556893364,0.285342520804132
1001.64784967874,0.286638045392055
1005.43654605128,0.28650765533288
1009.22093680969,0.286592423585674
1013.00102195397,0.287216001404131
1016.77680148412,0.286773818195578
1020.54827540013,0.287219889361762
1024.31544370202,0.288352830429661
1028.07830638977,0.289049137453153
1031.83686346339,0.28851971990404
1036.8415752729,0.289464474057002
1040.59008591354,0.289844056258306
1044.33429094005,0.291138936576347
1048.07419035243,0.291538072654614
1051.80978415068,0.291784435878436
1055.5410723348,0.292536995531976
1059.26805490478,0.292573399903929
1062.99073186063,0.293950471841335
1066.70910320235,0.294270801679353
1071.66023403599,0.295989849443129
1075.36855894474,0.296127485326241
1079.07257823935,0.297668452608135
1082.77229191983,0.298185771948984
1086.46769998618,0.298972601919757
1090.1588024384,0.299842228439873
1093.84559927648,0.301087813039085
1097.52809050043,0.301324760294349
1101.20627611025,0.30295426669003
1106.10382596803,0.304112426514274
1109.77196514487,0.306456195014663
1113.43579870759,0.305824470864017
1117.09532665617,0.306077898203822
1120.75054899062,0.307178127040638
1124.40146571093,0.306758933444562
1128.04807681712,0.306432189788896
1131.69038230917,0.307375374036358
1135.32838218709,0.308283333116413
1140.172351069,0.309456589363482
1143.80030451395,0.309371043083176
1147.42395234476,0.309907836533894
1151.04329456145,0.309627555376965
1154.658331164,0.309819373302088
1158.26906215241,0.309751001970045
1161.8754875267,0.308960738278246
1165.47760728685,0.308813989564236
1169.07542143287,0.30885830618243
1173.86580933892,0.3077741336731
1177.45357705197,0.307224557896415
1181.03703915088,0.306539792387543
1184.61619563566,0.30669523462193
1188.19104650631,0.30578051714786
1191.76159176283,0.305484102921445
1195.32783140522,0.305598717406702
1198.88976543347,0.304884325265327
1202.44739384759,0.305061632663975
1207.18420077777,0.304494602482753
1210.73178275892,0.303688261761661
1214.27505912594,0.303231243485396
1217.81402987882,0.303402095876941
1221.34869501757,0.302231072121322
1224.87905454219,0.302300397072819
1228.40510845267,0.301475306761391
1231.92685674903,0.300979661804404
1235.44429943125,0.300313377365572
1240.12752538557,0.299721260663418
1243.63492163481,0.299692634039698
1247.13801226993,0.29931826655885
1250.63679729091,0.298853533061438
1254.13127669776,0.299312300174941
1257.62145049048,0.299330616130664
1261.10731866907,0.299223682090492
1264.58888123353,0.298576121408939
1268.06613818385,0.298171583309867
1272.6957831623,0.297474161200543
1276.16299367965,0.297913921583825
1279.62589858286,0.298137113896308
1283.08449787195,0.297495290777524
1286.5387915469,0.296679623598221
1289.98877960772,0.296831600587057
1293.43446205441,0.297137971140722
1296.87583888696,0.296762314555726
1300.31291010539,0.296168981967971
