***Scan Config Information***,,,,,,,***Reference Scan Information***,,,,,,,
Scan Config Name:,Column 1,,,,,,Scan Config Name:,Built-in Factory Reference,,,,,,,,
Scan Config Type:,Slew,Num Section:,1,,,,Scan Config Type:,Slew,Num Section:,1,,,,,
Section Config Type:,Column,,,,,,Section Config Type:,Column,,,,,,,
Start Wavelength (nm):,900,,,,,,Start Wavelength (nm):,900,,,,,,,
End Wavelength (nm):,1700,,,,,,End Wavelength (nm):,1700,,,,,,,
Pattern Width (nm):,7.03,,,,,,Pattern Width (nm):,7.03,,,,,,,
Exposure (ms):,0.635,,,,,,Exposure (ms):,0.635,,,,,,,
Digital Resolution:,228,,,,,,Digital Resolution:,228,,,,,,,
Num Repeats:,6,,,,,,Num Repeats:,30,,,,,,,
PGA Gain:,64,,,,,,PGA Gain:,64,,,,,,,
System Temp (C):,34.65,,,,,,System Temp (C):,27.52,,,,,,,
Humidity (%):,41.79,,,,,,Humidity (%):,73.2,,,,,,,
Lamp Intensity:,2445,,,,,,Lamp Intensity:,2274,,,,,,,
Data Date-Time:,27/10/20 @ 12:53:57,,,,,,Data Date-Time:,9/7/19 @ 16:39:9,,,,,,,
Total Measurement Time in sec:,1.8131469,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
***General Information***,,,,,,,***Calibration Coefficients***,,,,,,,
Model Name:,NIR-X-XX,,,,,,Shift Vector Coefficients:,-6.85384978732833,0.0551332794684546,-0.000110731550088635,,,,,
Serial Number:,925R021,(95UB122GC1A925R021),,,,,Pixel to Wavelength Coefficients:,1790.66412099084,-0.917492857141292,-0.000239200785115314,,,,,
GUI Version:,2.4.4,,,,,,Versions (Cal/Ref/Cfg):,1,3,1,,,,,
TIVA Version:,2.1.0.67,,,,,,***Lamp Usage * **,,,,,,,
DLPC Version:,2.0.0,,,,,,Total Time(HH:MM:SS):,NA,,,,,,
UUID:,DE:67:0C:88:67:19:47:21,,,,,,***Device/Error Status***,,,,,,,
Main Board Version:,D,,,,,,Device Status:,0x00000001,,,,,,
Detector Board Version:,B,,,,,,Error status:,0x00000000,Error Code:,0x00000000000000000000000000000000,,,,
,,,,,,,,,,,,,,,
***Scan Data***,,,,,,,,,,,,,,
Wavelength (nm),Absorbance (AU)
901.630473432251,0.626726267420494
905.531115772228,0.627008390913828
909.427452498074,0.627671803469537
913.319483609787,0.627423010087493
917.207209107368,0.632744052864446
921.090628990817,0.634779780805733
924.969743260134,0.638443984027646
930.13519799724,0.63555455272442
934.004265833582,0.634369706620662
937.869028055792,0.624827103775598
941.72948466387,0.622592995513378
945.585635657816,0.621453269826764
949.43748103763,0.616787053456462
953.285020803312,0.617494451491546
957.128254954862,0.614096594445777
960.967183492279,0.615609929870134
966.07905725352,0.615798415766775
969.907939357962,0.616877683866714
973.732515848273,0.614599866572798
977.552786724452,0.61652830681579
981.368751986498,0.61578596349236
985.180411634413,0.615239675183059
988.987765668195,0.614509599143458
992.790814087846,0.615137232025819
996.589556893364,0.618027877244245
1001.64784967874,0.616949792817699
1005.43654605128,0.617492625267587
1009.22093680969,0.616413117539228
1013.00102195397,0.617874975028233
1016.77680148412,0.61816006706688
1020.54827540013,0.616939303360312
1024.31544370202,0.61729012630659
1028.07830638977,0.618018827302639
1031.83686346339,0.616803965912135
1036.8415752729,0.617923311730645
1040.59008591354,0.619133693748409
1044.33429094005,0.616242248253914
1048.07419035243,0.619212367820047
1051.80978415068,0.618139829447665
1055.5410723348,0.619639519447371
1059.26805490478,0.617475044061841
1062.99073186063,0.620586834352679
1066.70910320235,0.620487719616243
1071.66023403599,0.623434699436889
1075.36855894474,0.623976827912967
1079.07257823935,0.625538755880693
1082.77229191983,0.625323148773794
1086.46769998618,0.624413176453532
1090.1588024384,0.627422248961393
1093.84559927648,0.627107488827287
1097.52809050043,0.626899015994774
1101.20627611025,0.629212335563279
1106.10382596803,0.629912650151447
1109.77196514487,0.630598450294121
1113.43579870759,0.631081723459351
1117.09532665617,0.633138472279645
1120.75054899062,0.633876365109684
1124.40146571093,0.635204098196586
1128.04807681712,0.635826972666031
1131.69038230917,0.636743948970815
1135.32838218709,0.636382057754899
1140.172351069,0.634536754121206
1143.80030451395,0.63332633416616
1147.42395234476,0.633945913231111
1151.04329456145,0.634779726276177
1154.658331164,0.633773967834599
1158.26906215241,0.634991091215616
1161.8754875267,0.635515203074213
1165.47760728685,0.634956652349987
1169.07542143287,0.636266795143419
1173.86580933892,0.634996256436021
1177.45357705197,0.63635448162789
1181.03703915088,0.636143052203056
1184.61619563566,0.635297287302783
1188.19104650631,0.634586589708347
1191.76159176283,0.633407693565652
1195.32783140522,0.63248912665459
1198.88976543347,0.633938492105016
1202.44739384759,0.631120041346295
1207.18420077777,0.630769225409352
1210.73178275892,0.630715409864219
1214.27505912594,0.631686877121315
1217.81402987882,0.630309893415082
1221.34869501757,0.630381837726989
1224.87905454219,0.630289996693818
1228.40510845267,0.629893390666668
1231.92685674903,0.629524165344051
1235.44429943125,0.62840904607087
1240.12752538557,0.628835151151745
1243.63492163481,0.628639962816758
1247.13801226993,0.628641395215994
1250.63679729091,0.629304118116441
1254.13127669776,0.629333105876543
1257.62145049048,0.629821258221345
1261.10731866907,0.629771697068002
1264.58888123353,0.630324508333607
1268.06613818385,0.630400377409754
1272.6957831623,0.630411402747732
1276.16299367965,0.629688489117033
1279.62589858286,0.630412372645456
1283.08449787195,0.63033444290967
1286.5387915469,0.630518787831726
1289.98877960772,0.630531901562076
1293.43446205441,0.631853062593697
1296.87583888696,0.630626805026677
1300.31291010539,0.6319534617708
