***Scan Config Information***,,,,,,,***Reference Scan Information***,,,,,,,
Scan Config Name:,Column 1,,,,,,Scan Config Name:,Built-in Factory Reference,,,,,,,,
Scan Config Type:,Slew,Num Section:,1,,,,Scan Config Type:,Slew,Num Section:,1,,,,,
Section Config Type:,Column,,,,,,Section Config Type:,Column,,,,,,,
Start Wavelength (nm):,900,,,,,,Start Wavelength (nm):,900,,,,,,,
End Wavelength (nm):,1700,,,,,,End Wavelength (nm):,1700,,,,,,,
Pattern Width (nm):,7.03,,,,,,Pattern Width (nm):,7.03,,,,,,,
Exposure (ms):,0.635,,,,,,Exposure (ms):,0.635,,,,,,,
Digital Resolution:,228,,,,,,Digital Resolution:,228,,,,,,,
Num Repeats:,6,,,,,,Num Repeats:,30,,,,,,,
PGA Gain:,64,,,,,,PGA Gain:,64,,,,,,,
System Temp (C):,34.65,,,,,,System Temp (C):,27.52,,,,,,,
Humidity (%):,41.79,,,,,,Humidity (%):,73.2,,,,,,,
Lamp Intensity:,2445,,,,,,Lamp Intensity:,2274,,,,,,,
Data Date-Time:,27/10/20 @ 12:53:57,,,,,,Data Date-Time:,9/7/19 @ 16:39:9,,,,,,,
Total Measurement Time in sec:,1.8131469,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
***General Information***,,,,,,,***Calibration Coefficients***,,,,,,,
Model Name:,NIR-X-XX,,,,,,Shift Vector Coefficients:,-6.85384978732833,0.0551332794684546,-0.000110731550088635,,,,,
Serial Number:,925R021,(95UB122GC1A925R021),,,,,Pixel to Wavelength Coefficients:,1790.66412099084,-0.917492857141292,-0.000239200785115314,,,,,
GUI Version:,2.4.4,,,,,,Versions (Cal/Ref/Cfg):,1,3,1,,,,,
TIVA Version:,2.1.0.67,,,,,,***Lamp Usage * **,,,,,,,
DLPC Version:,2.0.0,,,,,,Total Time(HH:MM:SS):,NA,,,,,,
UUID:,DE:67:0C:88:67:19:47:21,,,,,,***Device/Error Status***,,,,,,,
Main Board Version:,D,,,,,,Device Status:,0x00000001,,,,,,
Detector Board Version:,B,,,,,,Error status:,0x00000000,Error Code:,0x00000000000000000000000000000000,,,,
,,,,,,,,,,,,,,,
***Scan Data***,,,,,,,,,,,,,,
Wavelength (nm),Sample Signal (unitless)
901.630473432251,24123
905.531115772228,26189
909.427452498074,28166
913.319483609787,30608
917.207209107368,33350
921.090628990817,37137
924.969743260134,41571
930.13519799724,48724
934.004265833582,53769
937.869028055792,59307
941.72948466387,63354
945.585635657816,66739
949.43748103763,70379
953.285020803312,73055
957.128254954862,76371
960.967183492279,78814
966.07905725352,82344
969.907939357962,84801
973.732515848273,87805
977.552786724452,89858
981.368751986498,92191
985.180411634413,94361
988.987765668195,96334
992.790814087846,97753
996.589556893364,98340
1001.64784967874,100159
1005.43654605128,100791
1009.22093680969,101558
1013.00102195397,101634
1016.77680148412,101860
1020.54827540013,102232
1024.31544370202,102057
1028.07830638977,101723
1031.83686346339,101840
1036.8415752729,101238
1040.59008591354,100557
1044.33429094005,100776
1048.07419035243,99826
1051.80978415068,99810
1055.5410723348,99192
1059.26805490478,99455
1062.99073186063,98623
1066.70910320235,98565
1071.66023403599,97912
1075.36855894474,98043
1079.07257823935,98047
1082.77229191983,98508
1086.46769998618,99176
1090.1588024384,98948
1093.84559927648,99727
1097.52809050043,100393
1101.20627611025,100521
1106.10382596803,101424
1109.77196514487,102180
1113.43579870759,102947
1117.09532665617,103308
1120.75054899062,103894
1124.40146571093,104401
1128.04807681712,105063
1131.69038230917,105598
1135.32838218709,106492
1140.172351069,108136
1143.80030451395,109316
1147.42395234476,110022
1151.04329456145,110785
1154.658331164,112063
1158.26906215241,112811
1161.8754875267,113770
1165.47760728685,115040
1169.07542143287,115883
1173.86580933892,117860
1177.45357705197,118800
1181.03703915088,120234
1184.61619563566,121919
1188.19104650631,123590
1191.76159176283,125505
1195.32783140522,127355
1198.88976543347,128640
1202.44739384759,131169
1207.18420077777,133576
1210.73178275892,135393
1214.27505912594,136882
1217.81402987882,139131
1221.34869501757,140914
1224.87905454219,142776
1228.40510845267,144696
1231.92685674903,146486
1235.44429943125,148583
1240.12752538557,150608
1243.63492163481,152097
1247.13801226993,153257
1250.63679729091,154175
1254.13127669776,155680
1257.62145049048,157658
1261.10731866907,160127
1264.58888123353,162441
1268.06613818385,164676
1272.6957831623,167456
1276.16299367965,169493
1279.62589858286,170978
1283.08449787195,172602
1286.5387915469,173902
1289.98877960772,175166
1293.43446205441,175809
1296.87583888696,177352
